N,evidences_per_t,edge_per_t,T,epsilon_estimated,time,num_epochs,real_epsilon,mu,rho,distance_epsilon,early_stopping
100,8,1,16,0.5731372592792428,0.4072856903076172,201,0.42460408010435136,0.45975968282364005,16,0.1485331791748914,201
100,8,1,32,0.3686968275764707,0.7362809181213379,201,0.42460408010435136,0.45975968282364005,16,0.055907252527880646,201
100,8,1,64,0.4275045519796758,1.368011713027954,201,0.42460408010435136,0.45975968282364005,16,0.0029004718753244396,201
100,8,1,128,0.3989694258187627,3.1468446254730225,201,0.42460408010435136,0.45975968282364005,16,0.025634654285588643,201
100,8,1,256,0.4275278734581213,5.841146945953369,201,0.42460408010435136,0.45975968282364005,16,0.0029237933537699656,201
100,8,4,16,0.43687048086453095,0.4107365608215332,201,0.42460408010435136,0.45975968282364005,16,0.012266400760179597,201
100,8,4,32,0.3974548128854878,0.7413561344146729,201,0.42460408010435136,0.45975968282364005,16,0.02714926721886357,201
100,8,4,64,0.40319037537677255,1.3485381603240967,201,0.42460408010435136,0.45975968282364005,16,0.02141370472757881,201
100,8,4,128,0.4144555893804275,2.594578504562378,201,0.42460408010435136,0.45975968282364005,16,0.010148490723923875,201
100,8,4,256,0.4295467003056665,5.821020603179932,201,0.42460408010435136,0.45975968282364005,16,0.00494262020131514,201
100,8,16,16,0.40374232843318014,0.419039249420166,201,0.42460408010435136,0.45975968282364005,16,0.020861751671171214,201
100,8,16,32,0.4002179439723439,0.7418971061706543,201,0.42460408010435136,0.45975968282364005,16,0.024386136132007463,201
100,8,16,64,0.4214597835139545,1.3649232387542725,201,0.42460408010435136,0.45975968282364005,16,0.0031442965903968334,201
100,8,16,128,0.4314820067093287,2.599243402481079,201,0.42460408010435136,0.45975968282364005,16,0.006877926604977325,201
100,8,16,256,0.4444843513522779,5.600288391113281,201,0.42460408010435136,0.45975968282364005,16,0.019880271247926518,201
100,8,64,16,0.3833670999083495,0.413144588470459,201,0.42460408010435136,0.45975968282364005,16,0.04123698019600186,201
100,8,64,32,0.42710812460516046,0.7299892902374268,201,0.42460408010435136,0.45975968282364005,16,0.0025040445008090995,201
