,epsilon,distance_epsilon,sum_ab,evidences_per_t,time,real_epsilon,real_mu,T,N,edge_per_t,ensemble_size,calibration_batches
0,0.38830000000000003,0.05830000000000002,1.0,5,4.051409959793091,0.33,0.6799999999999999,50,400,32,1,100
1,0.2439,0.1539,1.0,40,9.289963722229004,0.09,0.04,50,400,16,1,200
2,0.4435,0.033499999999999974,0.1,20,4.363340616226196,0.41000000000000003,0.6,50,400,16,1,100
3,0.1779,0.03210000000000002,1.0,40,4.031549692153931,0.21000000000000002,0.8399999999999999,50,50,2,1,100
4,0.47240000000000004,0.02240000000000003,0.1,40,4.427629232406616,0.45,0.27999999999999997,50,400,2,1,100
5,0.1711,0.1611,0.1,10,15.11605978012085,0.01,0.4399999999999999,100,200,8,1,200
6,0.3003,0.1303,10.0,40,14.16521406173706,0.17,0.8399999999999999,100,100,1,1,200
7,0.3037,0.02629999999999999,0.1,40,6.856088876724243,0.33,0.27999999999999997,100,200,1,1,100
8,0.16190000000000002,0.008099999999999996,0.1,20,5.001021862030029,0.17,0.9199999999999999,50,400,2,1,100
9,0.1588,0.05120000000000002,10.0,5,4.887194633483887,0.21000000000000002,0.5199999999999999,50,100,1,1,100
10,0.164,0.114,1.0,20,5.652066946029663,0.05,0.35999999999999993,50,50,8,1,100
11,0.10300000000000001,0.09300000000000001,0.1,10,10.562965393066406,0.01,0.7599999999999999,50,100,32,1,200
12,0.2932,0.0031999999999999806,0.1,10,12.44074010848999,0.29000000000000004,0.5199999999999999,100,50,8,1,100
13,0.27080000000000004,0.06080000000000002,10.0,5,15.215420722961426,0.21000000000000002,0.9199999999999999,100,100,32,1,200
14,0.3473,0.05729999999999996,0.1,40,7.89438271522522,0.29000000000000004,0.12,100,100,4,1,100
15,0.22870000000000001,0.018699999999999994,1.0,20,14.397516012191772,0.21000000000000002,0.6,100,200,1,1,200
16,0.0716,0.0184,10.0,10,6.818841457366943,0.09,0.9199999999999999,100,50,1,1,100
17,0.1212,0.1288,0.1,5,7.073960304260254,0.25,0.6799999999999999,100,200,32,1,100
18,0.1763,0.03370000000000001,1.0,10,6.866782903671265,0.21000000000000002,0.27999999999999997,100,50,2,1,100
19,0.4007,0.11069999999999997,1.0,10,14.689316749572754,0.29000000000000004,0.9199999999999999,100,50,32,1,200
20,0.1834,0.0534,1.0,20,15.496540069580078,0.13,0.6799999999999999,100,100,4,1,200
21,0.053500000000000006,0.043500000000000004,10.0,10,14.493868350982666,0.01,0.19999999999999998,100,200,4,1,200
22,0.3089,0.06109999999999999,10.0,10,8.996193885803223,0.37,0.27999999999999997,50,50,2,1,200
23,0.30160000000000003,0.0116,1.0,5,4.749140739440918,0.29000000000000004,0.19999999999999998,50,50,8,1,100
24,0.1728,0.002799999999999997,0.1,40,8.860903978347778,0.17,0.27999999999999997,50,200,2,1,200
25,0.2222,0.012199999999999989,1.0,20,4.591308116912842,0.21000000000000002,0.6,50,100,1,1,100
26,0.4647,0.05469999999999997,10.0,10,8.48034381866455,0.41000000000000003,0.8399999999999999,50,50,8,1,200
27,0.27640000000000003,0.06640000000000001,1.0,40,14.183040618896484,0.21000000000000002,0.6,100,100,4,1,200
28,0.2446,0.16540000000000002,0.1,40,7.016251564025879,0.41000000000000003,0.04,100,200,16,1,100
29,0.4384,0.0116,0.1,10,7.732356548309326,0.45,0.8399999999999999,50,400,2,1,200
30,0.27240000000000003,0.057599999999999985,0.1,10,4.312173128128052,0.33,0.9199999999999999,50,200,4,1,100
31,0.1641,0.12590000000000004,10.0,40,7.11267614364624,0.29000000000000004,0.6799999999999999,100,100,8,1,100
32,0.1337,0.0763,10.0,40,8.987601280212402,0.21000000000000002,0.4399999999999999,50,400,4,1,200
33,0.0495,0.0395,1.0,20,8.991399765014648,0.01,0.6799999999999999,50,200,4,1,200
34,0.4002,0.030200000000000005,0.1,20,8.68972373008728,0.37,0.35999999999999993,50,400,2,1,200
35,0.0351,0.014900000000000004,10.0,20,4.352707386016846,0.05,0.6799999999999999,50,50,8,1,100
36,0.45480000000000004,0.044800000000000006,10.0,10,13.862303733825684,0.41000000000000003,0.8399999999999999,100,400,1,1,200
37,0.2776,0.1076,0.1,40,14.05250597000122,0.17,0.9199999999999999,100,400,16,1,200
38,0.3549,0.015100000000000002,1.0,5,7.167775869369507,0.37,0.5199999999999999,100,200,1,1,100
39,0.2676,0.1376,10.0,5,6.960847616195679,0.13,0.35999999999999993,100,100,4,1,100
40,0.4269,0.01689999999999997,10.0,40,12.880414962768555,0.41000000000000003,0.19999999999999998,100,50,8,1,200
41,0.46740000000000004,0.017400000000000027,1.0,10,14.364664316177368,0.45,0.9199999999999999,100,100,1,1,200
42,0.4259,0.02410000000000001,10.0,20,13.528267621994019,0.45,0.5199999999999999,100,200,8,1,200
43,0.2015,0.08850000000000002,0.1,40,4.148513078689575,0.29000000000000004,0.04,50,400,1,1,100
44,0.4208,0.09079999999999999,10.0,10,4.030389070510864,0.33,0.4399999999999999,50,100,2,1,100
45,0.2705,0.1005,0.1,40,8.386646509170532,0.17,0.27999999999999997,50,50,32,1,200
46,0.1159,0.014100000000000001,1.0,5,9.255402565002441,0.13,0.6799999999999999,50,50,16,1,200
47,0.37320000000000003,0.07679999999999998,0.1,10,4.38535737991333,0.45,0.5199999999999999,50,100,8,1,100
48,0.29300000000000004,0.11699999999999999,10.0,10,8.213944911956787,0.41000000000000003,0.35999999999999993,50,50,2,1,200
49,0.1297,0.12029999999999999,10.0,5,14.672894716262817,0.25,0.9199999999999999,100,200,16,1,200
