,epsilon,distance_epsilon,sum_ab,evidences_per_t,time,real_epsilon,real_mu,T,N,edge_per_t,ensemble_size,calibration_batches
0,0.31880000000000003,0.011199999999999988,1.0,5,46.29217267036438,0.33,0.6799999999999999,200,400,32,1,400
1,0.1797,0.0897,1.0,40,8.084179639816284,0.09,0.04,50,400,16,1,200
2,0.4494,0.03939999999999999,0.1,20,11.99274468421936,0.41000000000000003,0.6,200,400,16,1,100
3,0.25570000000000004,0.04570000000000002,1.0,40,4.033148527145386,0.21000000000000002,0.8399999999999999,50,50,2,1,100
4,0.3543,0.09570000000000001,0.1,40,4.2272913455963135,0.45,0.27999999999999997,50,400,2,1,100
5,0.0385,0.028499999999999998,0.1,10,167.92070174217224,0.01,0.4399999999999999,400,200,8,1,800
6,0.1631,0.006900000000000017,10.0,40,51.835060596466064,0.17,0.8399999999999999,100,100,1,1,800
7,0.41600000000000004,0.08600000000000002,0.1,40,23.02361798286438,0.33,0.27999999999999997,400,200,1,1,100
8,0.2449,0.0749,0.1,20,3.8717451095581055,0.17,0.9199999999999999,50,400,2,1,100
9,0.16040000000000001,0.049600000000000005,10.0,5,11.647476434707642,0.21000000000000002,0.5199999999999999,200,100,1,1,100
10,0.0523,0.0022999999999999965,1.0,20,14.951786518096924,0.05,0.35999999999999993,50,50,8,1,400
11,0.038200000000000005,0.028200000000000003,0.1,10,23.019087553024292,0.01,0.7599999999999999,200,100,32,1,200
12,0.3032,0.01319999999999999,0.1,10,7.3163018226623535,0.29000000000000004,0.5199999999999999,100,50,8,1,100
13,0.1821,0.027900000000000008,10.0,5,11.990790605545044,0.21000000000000002,0.9199999999999999,100,100,32,1,200
14,0.3012,0.011199999999999988,0.1,40,20.979963541030884,0.29000000000000004,0.12,400,100,4,1,100
15,0.2821,0.0721,1.0,20,13.448334455490112,0.21000000000000002,0.6,100,200,1,1,200
16,0.1288,0.0388,10.0,10,27.165750741958618,0.09,0.9199999999999999,100,50,1,1,400
17,0.25020000000000003,0.00020000000000003348,0.1,5,87.62866997718811,0.25,0.6799999999999999,400,200,32,1,400
18,0.23520000000000002,0.0252,1.0,10,23.485018253326416,0.21000000000000002,0.27999999999999997,400,50,2,1,100
19,0.1627,0.12730000000000002,1.0,10,49.75356698036194,0.29000000000000004,0.9199999999999999,100,50,32,1,800
20,0.2063,0.0763,1.0,20,12.089237689971924,0.13,0.6799999999999999,100,100,4,1,200
21,0.0548,0.0448,10.0,10,175.36934113502502,0.01,0.19999999999999998,400,200,4,1,800
22,0.3242,0.04580000000000001,10.0,10,89.65260910987854,0.37,0.27999999999999997,200,50,2,1,800
23,0.1908,0.09920000000000004,1.0,5,3.399688959121704,0.29000000000000004,0.19999999999999998,50,50,8,1,100
24,0.1053,0.06470000000000001,0.1,40,7.782222747802734,0.17,0.27999999999999997,50,200,2,1,200
25,0.1535,0.05650000000000002,1.0,20,10.884691715240479,0.21000000000000002,0.6,200,100,1,1,100
26,0.49300000000000005,0.08300000000000002,10.0,10,8.936065196990967,0.41000000000000003,0.8399999999999999,50,50,8,1,200
27,0.2066,0.003400000000000014,1.0,40,43.71050143241882,0.21000000000000002,0.6,400,100,4,1,200
28,0.42010000000000003,0.010099999999999998,0.1,40,22.896816968917847,0.41000000000000003,0.04,400,200,16,1,100
29,0.3972,0.052800000000000014,0.1,10,86.7905490398407,0.45,0.8399999999999999,200,400,2,1,800
30,0.3638,0.0338,0.1,10,11.877667427062988,0.33,0.9199999999999999,200,200,4,1,100
31,0.2831,0.006900000000000017,10.0,40,21.63813805580139,0.29000000000000004,0.6799999999999999,400,100,8,1,100
32,0.11320000000000001,0.09680000000000001,10.0,40,31.11403179168701,0.21000000000000002,0.4399999999999999,50,400,4,1,800
33,0.057600000000000005,0.0476,1.0,20,93.02365016937256,0.01,0.6799999999999999,200,200,4,1,800
34,0.4113,0.0413,0.1,20,22.298789024353027,0.37,0.35999999999999993,200,400,2,1,200
35,0.10830000000000001,0.058300000000000005,10.0,20,3.9480152130126953,0.05,0.6799999999999999,50,50,8,1,100
36,0.4048,0.005200000000000038,10.0,10,12.142626285552979,0.41000000000000003,0.8399999999999999,100,400,1,1,200
37,0.1476,0.022400000000000003,0.1,40,42.20500636100769,0.17,0.9199999999999999,400,400,16,1,200
38,0.379,0.009000000000000008,1.0,5,6.02055287361145,0.37,0.5199999999999999,100,200,1,1,100
39,0.2157,0.0857,10.0,5,20.84867024421692,0.13,0.35999999999999993,400,100,4,1,100
40,0.47450000000000003,0.0645,10.0,40,184.6920838356018,0.41000000000000003,0.19999999999999998,400,50,8,1,800
41,0.4409,0.009099999999999997,1.0,10,175.63431406021118,0.45,0.9199999999999999,400,100,1,1,800
42,0.457,0.007000000000000006,10.0,20,193.57482886314392,0.45,0.5199999999999999,400,200,8,1,800
43,0.4204,0.13039999999999996,0.1,40,11.340393543243408,0.29000000000000004,0.04,200,400,1,1,100
44,0.34800000000000003,0.018000000000000016,10.0,10,13.0722336769104,0.33,0.4399999999999999,200,100,2,1,100
45,0.1061,0.06390000000000001,0.1,40,22.98528552055359,0.17,0.27999999999999997,200,50,32,1,200
46,0.21100000000000002,0.08100000000000002,1.0,5,7.599421739578247,0.13,0.6799999999999999,50,50,16,1,200
47,0.42410000000000003,0.02589999999999998,0.1,10,47.786972761154175,0.45,0.5199999999999999,200,100,8,1,400
48,0.368,0.04200000000000004,10.0,10,8.118339538574219,0.41000000000000003,0.35999999999999993,50,50,2,1,200
49,0.3033,0.053300000000000014,10.0,5,56.19354486465454,0.25,0.9199999999999999,400,200,16,1,200
