,epsilon,distance_epsilon,sum_ab,evidences_per_t,time,real_epsilon,real_mu,T,N,edge_per_t,ensemble_size,calibration_batches
0,0.2137,0.0363,1.0,10,20.8588285446167,0.25,0.9199999999999999,100,100,4,1,400
1,0.065,0.055,0.1,10,20.03005862236023,0.01,0.27999999999999997,100,100,4,1,400
2,0.21780000000000002,0.03219999999999998,0.1,10,20.060136079788208,0.25,0.27999999999999997,100,100,4,1,400
3,0.1587,0.011300000000000004,1.0,10,20.78610324859619,0.17,0.04,100,100,4,1,400
4,0.115,0.05500000000000001,1.0,10,20.0843665599823,0.17,0.27999999999999997,100,100,4,1,400
5,0.4677,0.017699999999999994,0.1,10,20.118202209472656,0.45,0.27999999999999997,100,100,4,1,400
6,0.0824,0.12760000000000002,0.1,10,20.111364126205444,0.21000000000000002,0.6799999999999999,100,100,4,1,400
7,0.34340000000000004,0.0534,0.1,10,20.039655685424805,0.29000000000000004,0.5199999999999999,100,100,4,1,400
8,0.038900000000000004,0.028900000000000002,1.0,10,22.062435626983643,0.01,0.27999999999999997,100,100,4,1,400
9,0.3937,0.016300000000000037,1.0,10,20.03554105758667,0.41000000000000003,0.6799999999999999,100,100,4,1,400
10,0.045000000000000005,0.035,1.0,10,20.075949907302856,0.01,0.04,100,100,4,1,400
11,0.4328,0.06280000000000002,0.1,10,20.139864921569824,0.37,0.4399999999999999,100,100,4,1,400
12,0.2886,0.0786,1.0,10,20.14786434173584,0.21000000000000002,0.9199999999999999,100,100,4,1,400
13,0.31570000000000004,0.05429999999999996,1.0,10,20.114835500717163,0.37,0.4399999999999999,100,100,4,1,400
14,0.2846,0.0746,1.0,10,20.176621675491333,0.21000000000000002,0.19999999999999998,100,100,4,1,400
15,0.4053,0.0047000000000000375,0.1,10,20.163360118865967,0.41000000000000003,0.6,100,100,4,1,400
16,0.19440000000000002,0.015600000000000003,0.1,10,20.098737001419067,0.21000000000000002,0.35999999999999993,100,100,4,1,400
17,0.1889,0.06109999999999999,10.0,10,20.02375817298889,0.25,0.4399999999999999,100,100,4,1,400
18,0.13620000000000002,0.006200000000000011,1.0,10,20.164350748062134,0.13,0.04,100,100,4,1,400
19,0.0146,0.0354,1.0,10,20.612164974212646,0.05,0.6,100,100,4,1,400
20,0.08600000000000001,0.036000000000000004,10.0,10,21.023227214813232,0.05,0.5199999999999999,100,100,4,1,400
21,0.0983,0.031700000000000006,10.0,10,19.961856365203857,0.13,0.19999999999999998,100,100,4,1,400
22,0.1217,0.031700000000000006,1.0,10,20.04102635383606,0.09,0.6799999999999999,100,100,4,1,400
23,0.2406,0.0706,10.0,10,21.311652660369873,0.17,0.9199999999999999,100,100,4,1,400
24,0.1148,0.05520000000000001,10.0,10,21.254032611846924,0.17,0.5199999999999999,100,100,4,1,400
25,0.2394,0.02939999999999998,1.0,10,20.044069290161133,0.21000000000000002,0.6799999999999999,100,100,4,1,400
26,0.2252,0.0552,10.0,10,20.076449632644653,0.17,0.6,100,100,4,1,400
27,0.057600000000000005,0.07239999999999999,10.0,10,20.048398733139038,0.13,0.4399999999999999,100,100,4,1,400
28,0.07980000000000001,0.010199999999999987,0.1,10,21.069490671157837,0.09,0.6,100,100,4,1,400
29,0.19990000000000002,0.05009999999999998,1.0,10,20.806567668914795,0.25,0.9199999999999999,100,100,4,1,400
30,0.21230000000000002,0.037699999999999984,0.1,10,20.102510452270508,0.25,0.19999999999999998,100,100,4,1,400
31,0.4455,0.004500000000000004,0.1,10,20.086671113967896,0.45,0.9199999999999999,100,100,4,1,400
32,0.3572,0.027200000000000002,10.0,10,20.435470819473267,0.33,0.27999999999999997,100,100,4,1,400
33,0.3312,0.0812,10.0,10,19.90529751777649,0.25,0.19999999999999998,100,100,4,1,400
34,0.4379,0.0121,1.0,10,19.981730222702026,0.45,0.7599999999999999,100,100,4,1,400
35,0.4067,0.07669999999999999,1.0,10,19.98975896835327,0.33,0.04,100,100,4,1,400
36,0.0085,0.0415,0.1,10,20.136330127716064,0.05,0.6,100,100,4,1,400
37,0.2388,0.05120000000000002,0.1,10,22.875295639038086,0.29000000000000004,0.35999999999999993,100,100,4,1,400
38,0.21200000000000002,0.0020000000000000018,0.1,10,22.501562356948853,0.21000000000000002,0.5199999999999999,100,100,4,1,400
39,0.2353,0.054700000000000026,0.1,10,22.627288579940796,0.29000000000000004,0.8399999999999999,100,100,4,1,400
40,0.29460000000000003,0.04460000000000003,10.0,10,20.9815092086792,0.25,0.27999999999999997,100,100,4,1,400
41,0.2374,0.1074,0.1,10,20.23395323753357,0.13,0.12,100,100,4,1,400
42,0.0825,0.0475,1.0,10,20.128802061080933,0.13,0.19999999999999998,100,100,4,1,400
43,0.17220000000000002,0.08220000000000002,0.1,10,20.615503549575806,0.09,0.6,100,100,4,1,400
44,0.2561,0.15390000000000004,1.0,10,22.496667861938477,0.41000000000000003,0.12,100,100,4,1,400
45,0.4433,0.033299999999999996,1.0,10,21.158949375152588,0.41000000000000003,0.04,100,100,4,1,400
46,0.1831,0.0131,0.1,10,20.071529388427734,0.17,0.04,100,100,4,1,400
47,0.17850000000000002,0.07149999999999998,10.0,10,22.353793621063232,0.25,0.9199999999999999,100,100,4,1,400
48,0.34900000000000003,0.019000000000000017,1.0,10,20.813109397888184,0.33,0.04,100,100,4,1,400
49,0.1337,0.003700000000000009,1.0,10,21.771596431732178,0.13,0.35999999999999993,100,100,4,1,400
50,0.31770000000000004,0.13229999999999997,0.1,10,22.93934917449951,0.45,0.19999999999999998,100,100,4,1,400
51,0.1072,0.017200000000000007,10.0,10,21.01299786567688,0.09,0.8399999999999999,100,100,4,1,400
52,0.3423,0.06770000000000004,10.0,10,19.98297381401062,0.41000000000000003,0.8399999999999999,100,100,4,1,400
53,0.2056,0.004400000000000015,0.1,10,20.13151216506958,0.21000000000000002,0.9199999999999999,100,100,4,1,400
54,0.368,0.08200000000000002,0.1,10,20.57679510116577,0.45,0.19999999999999998,100,100,4,1,400
55,0.2856,0.03560000000000002,10.0,10,22.40196204185486,0.25,0.7599999999999999,100,100,4,1,400
56,0.2412,0.07119999999999999,10.0,10,21.85357403755188,0.17,0.8399999999999999,100,100,4,1,400
57,0.2645,0.14550000000000002,1.0,10,20.096720695495605,0.41000000000000003,0.27999999999999997,100,100,4,1,400
58,0.4006,0.00940000000000002,0.1,10,21.002755165100098,0.41000000000000003,0.8399999999999999,100,100,4,1,400
59,0.0606,0.010599999999999998,1.0,10,20.109551191329956,0.05,0.27999999999999997,100,100,4,1,400
60,0.45420000000000005,0.12420000000000003,0.1,10,21.037073135375977,0.33,0.6799999999999999,100,100,4,1,400
61,0.45120000000000005,0.0012000000000000344,10.0,10,22.631404161453247,0.45,0.12,100,100,4,1,400
62,0.011300000000000001,0.0013000000000000008,10.0,10,21.292262315750122,0.01,0.27999999999999997,100,100,4,1,400
