,epsilon,distance_epsilon,sum_ab,evidences_per_t,time,real_epsilon,real_mu,T,N,edge_per_t,ensemble_size,calibration_batches
0,0.2469,0.04310000000000003,0.1,20,6.780020236968994,0.29000000000000004,0.21000000000000002,100,100,64,1,100
1,0.16570000000000001,0.07570000000000002,1.0,40,4.94200873374939,0.09,0.01,25,100,64,1,200
2,0.3729,0.03710000000000002,0.1,20,6.4677958488464355,0.41000000000000003,0.29000000000000004,100,100,64,1,100
3,0.038900000000000004,0.011099999999999999,0.1,40,9.33907175064087,0.05,0.21000000000000002,25,100,1,1,400
4,0.0536,0.003599999999999999,0.1,40,2.612485647201538,0.05,0.45,25,100,64,1,100
5,0.1037,0.0937,1.0,5,6.3881425857543945,0.01,0.21000000000000002,100,100,64,1,100
6,0.3506,0.020600000000000007,10.0,40,15.390629053115845,0.33,0.17,50,100,4,1,400
7,0.39380000000000004,0.06380000000000002,0.1,40,6.673006296157837,0.33,0.33,100,100,64,1,100
8,0.07980000000000001,0.029800000000000007,0.1,20,2.5114877223968506,0.05,0.17,25,100,64,1,100
9,0.2585,0.07150000000000001,0.1,20,26.41158151626587,0.33,0.21000000000000002,100,100,4,1,400
10,0.2627,0.18730000000000002,0.1,20,10.204937934875488,0.45,0.05,25,100,1,1,400
11,0.1642,0.04580000000000001,1.0,5,13.725033044815063,0.21000000000000002,0.01,100,100,4,1,200
12,0.49770000000000003,0.04770000000000002,0.1,40,14.090248584747314,0.45,0.29000000000000004,50,100,1,1,400
13,0.12050000000000001,0.08950000000000001,10.0,5,7.731986999511719,0.21000000000000002,0.21000000000000002,50,100,4,1,200
14,0.42450000000000004,0.1345,0.1,40,3.6044116020202637,0.29000000000000004,0.05,50,100,16,1,100
15,0.3809,0.09089999999999998,1.0,10,7.700611352920532,0.29000000000000004,0.33,50,100,16,1,200
16,0.006500000000000001,0.0034999999999999996,10.0,10,14.329651594161987,0.01,0.09,50,100,1,1,400
17,0.18680000000000002,0.06319999999999998,0.1,5,25.668237447738647,0.25,0.33,100,100,4,1,400
18,0.36150000000000004,0.008499999999999952,1.0,10,2.745889663696289,0.37,0.21000000000000002,25,100,64,1,100
19,0.1325,0.15750000000000003,1.0,5,7.326141595840454,0.29000000000000004,0.45,50,100,1,1,200
20,0.14350000000000002,0.10649999999999998,1.0,10,4.217872619628906,0.25,0.41000000000000003,50,100,4,1,100
21,0.0115,0.0014999999999999996,1.0,40,27.715604066848755,0.01,0.09,100,100,16,1,400
22,0.0275,0.022500000000000003,1.0,10,25.36017680168152,0.05,0.37,100,100,1,1,400
23,0.2025,0.2475,0.1,10,10.372693538665771,0.45,0.29000000000000004,25,100,1,1,400
24,0.22060000000000002,0.06940000000000002,1.0,5,10.732919454574585,0.29000000000000004,0.25,25,100,16,1,400
25,0.3894,0.05940000000000001,1.0,20,7.013044595718384,0.33,0.21000000000000002,100,100,4,1,100
26,0.2671,0.02290000000000003,1.0,40,10.638169527053833,0.29000000000000004,0.13,25,100,1,1,400
27,0.0004,0.2096,1.0,40,8.552375793457031,0.21000000000000002,0.29000000000000004,50,100,16,1,200
28,0.1038,0.06620000000000001,0.1,5,7.032267093658447,0.17,0.41000000000000003,100,100,64,1,100
29,0.33380000000000004,0.036199999999999954,0.1,10,28.07496690750122,0.37,0.45,100,100,64,1,400
30,0.0045000000000000005,0.08549999999999999,0.1,5,7.184534549713135,0.09,0.33,100,100,16,1,100
31,0.2298,0.06020000000000003,10.0,40,4.063455820083618,0.29000000000000004,0.33,50,100,64,1,100
32,0.48260000000000003,0.0726,1.0,40,10.653362512588501,0.41000000000000003,0.21000000000000002,25,100,64,1,400
33,0.3161,0.09390000000000004,1.0,20,6.976590633392334,0.41000000000000003,0.01,100,100,16,1,100
34,0.37610000000000005,0.00610000000000005,0.1,10,28.275254011154175,0.37,0.37,100,100,64,1,400
35,0.3065,0.1765,0.1,20,2.7120165824890137,0.13,0.05,25,100,1,1,100
36,0.4238,0.13379999999999997,10.0,10,16.831166744232178,0.29000000000000004,0.01,50,100,64,1,400
37,0.22210000000000002,0.2279,0.1,10,2.70894718170166,0.45,0.21000000000000002,25,100,1,1,100
38,0.3811,0.09109999999999996,10.0,5,8.374285221099854,0.29000000000000004,0.33,50,100,16,1,200
39,0.1454,0.015399999999999997,10.0,5,4.149129867553711,0.13,0.17,50,100,16,1,100
40,0.042100000000000005,0.0879,10.0,40,9.824264287948608,0.13,0.41000000000000003,25,100,16,1,400
41,0.36660000000000004,0.08339999999999997,1.0,10,7.099729776382446,0.45,0.45,50,100,1,1,200
42,0.42160000000000003,0.02839999999999998,10.0,5,26.42749309539795,0.45,0.25,100,100,64,1,400
43,0.32880000000000004,0.0011999999999999789,0.1,5,6.494500637054443,0.33,0.29000000000000004,100,100,64,1,100
44,0.39830000000000004,0.028300000000000047,0.1,20,13.23587679862976,0.37,0.33,100,100,4,1,200
45,0.14,0.03,0.1,40,11.86476755142212,0.17,0.13,100,100,1,1,200
46,0.081,0.049,1.0,5,4.685666084289551,0.13,0.33,25,100,1,1,200
47,0.3779,0.0721,10.0,40,26.51140308380127,0.45,0.45,100,100,4,1,400
48,0.1829,0.13290000000000002,1.0,20,2.383960485458374,0.05,0.41000000000000003,25,100,1,1,100
49,0.3506,0.10060000000000002,10.0,5,11.938037395477295,0.25,0.45,100,100,1,1,200
50,0.0463,0.0837,10.0,10,3.9952476024627686,0.13,0.29000000000000004,50,100,16,1,100
51,0.38830000000000003,0.021699999999999997,0.1,10,13.080045938491821,0.41000000000000003,0.09,100,100,16,1,200
52,0.049100000000000005,0.0809,0.1,20,26.3497371673584,0.13,0.09,100,100,16,1,400
53,0.2741,0.1041,1.0,5,7.739041090011597,0.17,0.33,50,100,64,1,200
54,0.1723,0.03770000000000001,10.0,10,24.407376527786255,0.21000000000000002,0.13,100,100,1,1,400
55,0.1395,0.009500000000000008,1.0,20,27.163126468658447,0.13,0.25,100,100,4,1,400
56,0.3038,0.053800000000000014,1.0,20,5.20053505897522,0.25,0.17,25,100,16,1,200
57,0.3388,0.031200000000000006,0.1,40,14.215360403060913,0.37,0.13,100,100,64,1,200
58,0.2823,0.11229999999999998,1.0,5,14.457565307617188,0.17,0.45,100,100,16,1,200
59,0.4093,0.0393,0.1,20,8.41024923324585,0.37,0.33,50,100,64,1,200
60,0.1582,0.028200000000000003,10.0,20,2.359056234359741,0.13,0.29000000000000004,25,100,1,1,100
61,0.35750000000000004,0.0675,1.0,5,8.372870445251465,0.29000000000000004,0.45,50,100,16,1,200
62,0.12510000000000002,0.03510000000000002,1.0,5,11.143441915512085,0.09,0.09,25,100,64,1,400
63,0.40280000000000005,0.047199999999999964,1.0,5,17.221224069595337,0.45,0.37,50,100,64,1,400
64,0.42310000000000003,0.053100000000000036,10.0,40,17.352433919906616,0.37,0.45,50,100,4,1,400
65,0.3312,0.0812,0.1,5,2.557400703430176,0.25,0.37,25,100,4,1,100
66,0.1563,0.13370000000000004,0.1,20,6.883238315582275,0.29000000000000004,0.37,100,100,16,1,100
67,0.35910000000000003,0.010899999999999965,10.0,10,25.999544620513916,0.37,0.25,100,100,1,1,400
68,0.21610000000000001,0.033899999999999986,10.0,10,4.308551549911499,0.25,0.09,50,100,64,1,100
69,0.2843,0.07429999999999998,0.1,40,13.856101751327515,0.21000000000000002,0.01,100,100,4,1,200
70,0.4238,0.053800000000000014,0.1,20,2.7789883613586426,0.37,0.01,25,100,64,1,100
71,0.1588,0.011200000000000015,1.0,20,10.484551429748535,0.17,0.17,25,100,1,1,400
72,0.403,0.07300000000000001,0.1,10,5.261412858963013,0.33,0.41000000000000003,25,100,64,1,200
73,0.1042,0.014200000000000004,10.0,20,3.7900002002716064,0.09,0.41000000000000003,50,100,1,1,100
