,epsilon,real_epsilon,time,sum_ab,calibration_batches,ensemble_size,mu,T,edge_per_t,evidences_per_t,distance_epsilon
0,0.2902,0.35,0.9409017562866211,0.01,25,1,0.55,50,16,32,0.059799999999999964
1,0.2581,0.05,2.001739501953125,1.0,25,2,0.85,50,8,32,0.2081
2,0.1296,0.15,3.0250978469848633,0.01,25,4,0.85,50,8,1,0.0204
3,0.2569,0.15,1.9825677871704102,10.0,50,1,0.75,50,1,1,0.10690000000000002
4,0.0765,0.05,3.7292332649230957,0.01,50,2,0.35,50,2,1,0.026499999999999996
5,0.41290000000000004,0.35,7.358404159545898,1.0,50,4,0.95,50,16,4,0.06290000000000007
6,0.0451,0.15,4.705772638320923,10.0,100,1,0.45,50,8,32,0.1049
7,0.47690000000000005,0.45,7.589855909347534,0.1,100,2,0.35,50,2,4,0.026900000000000035
8,0.09860000000000001,0.05,14.126231670379639,1.0,100,4,0.55,50,8,4,0.048600000000000004
9,0.4766,0.45,2.0304577350616455,0.1,25,1,0.95,100,1,32,0.026600000000000013
10,0.0375,0.05,3.995932102203369,0.1,25,2,0.95,100,8,32,0.012500000000000004
11,0.1097,0.15,6.687629461288452,10.0,25,4,0.65,100,4,32,0.04029999999999999
12,0.0482,0.05,3.214212656021118,0.01,50,1,0.25,100,4,16,0.001800000000000003
13,0.3483,0.45,7.0031867027282715,1.0,50,2,0.85,100,2,16,0.10170000000000001
14,0.38970000000000005,0.45,14.08973503112793,0.01,50,4,0.85,100,1,32,0.060299999999999965
15,0.2185,0.15,6.219810962677002,10.0,100,1,0.95,100,2,1,0.0685
16,0.1592,0.15,13.146832942962646,0.1,100,2,0.15,100,1,16,0.009200000000000014
17,0.057,0.05,25.816526412963867,1.0,100,4,0.35,100,2,16,0.006999999999999999
18,0.3262,0.25,3.336005449295044,10.0,25,1,0.55,200,1,1,0.07619999999999999
19,0.4243,0.25,5.940112590789795,1.0,25,2,0.35,200,16,4,0.1743
20,0.0167,0.05,10.873641014099121,0.01,25,4,0.95,200,16,1,0.0333
21,0.4535,0.45,5.827090263366699,0.01,50,1,0.55,200,16,1,0.003500000000000003
22,0.0722,0.05,10.874945878982544,1.0,50,2,0.35,200,2,1,0.022199999999999998
23,0.40130000000000005,0.35,23.477649927139282,10.0,50,4,0.25,200,1,4,0.05130000000000007
24,0.4132,0.25,11.442522287368774,1.0,100,1,0.45,200,16,4,0.1632
25,0.0291,0.05,24.95771288871765,1.0,100,2,0.55,200,2,32,0.020900000000000002
26,0.0427,0.05,49.86406135559082,10.0,100,4,0.35,200,1,1,0.007300000000000001
27,0.35150000000000003,0.15,1.1879758834838867,0.01,25,1,0.15,50,16,32,0.20150000000000004
28,0.3977,0.35,3.0509445667266846,0.1,25,2,0.55,50,16,16,0.04770000000000002
29,0.41190000000000004,0.45,3.0791494846343994,10.0,25,4,0.55,50,16,16,0.03809999999999997
30,0.08660000000000001,0.05,1.9257838726043701,10.0,50,1,0.25,50,4,16,0.03660000000000001
31,0.32530000000000003,0.35,4.442616939544678,1.0,50,2,0.75,50,16,1,0.024699999999999944
32,0.2874,0.05,8.576714277267456,1.0,50,4,0.45,50,4,4,0.2374
33,0.16970000000000002,0.25,5.188450336456299,0.1,100,1,0.15,50,4,16,0.08029999999999998
34,0.30820000000000003,0.45,8.288858652114868,0.01,100,2,0.95,50,2,32,0.14179999999999998
35,0.223,0.25,15.10006856918335,0.1,100,4,0.55,50,1,16,0.026999999999999996
36,0.47290000000000004,0.25,1.6978952884674072,10.0,25,1,0.55,100,8,16,0.22290000000000004
37,0.4843,0.35,2.7664496898651123,0.01,25,2,0.15,100,8,1,0.13430000000000003
38,0.1627,0.15,5.354856967926025,0.01,25,4,0.95,100,2,1,0.012700000000000017
39,0.46380000000000005,0.35,2.676875352859497,0.01,50,1,0.65,100,1,16,0.11380000000000007
40,0.4514,0.35,5.816139459609985,1.0,50,2,0.05,100,16,1,0.10140000000000005
41,0.4818,0.35,14.502724409103394,1.0,50,4,0.65,100,16,16,0.13180000000000003
42,0.0388,0.05,7.79131007194519,0.1,100,1,0.45,100,2,16,0.011200000000000002
43,0.3982,0.35,14.778244256973267,0.1,100,2,0.45,100,2,32,0.04820000000000002
44,0.4471,0.45,25.290757179260254,10.0,100,4,0.35,100,1,4,0.0029000000000000137
45,0.2682,0.05,3.3162946701049805,1.0,25,1,0.55,200,16,32,0.2182
46,0.10540000000000001,0.05,5.135193109512329,10.0,25,2,0.75,200,1,1,0.055400000000000005
47,0.4248,0.35,11.831666946411133,0.01,25,4,0.05,200,2,32,0.07480000000000003
48,0.4829,0.45,7.004016637802124,0.01,50,1,0.85,200,4,4,0.032899999999999985
49,0.0408,0.05,10.054087162017822,0.1,50,2,0.05,200,8,4,0.0092
50,0.0364,0.05,24.131381273269653,0.1,50,4,0.95,200,2,1,0.013600000000000001
51,0.2038,0.45,13.455056428909302,0.1,100,1,0.55,200,8,32,0.2462
52,0.1809,0.35,26.416588068008423,10.0,100,2,0.95,200,16,32,0.16909999999999997
53,0.41900000000000004,0.25,49.089285135269165,0.01,100,4,0.55,200,2,1,0.16900000000000004
54,0.10640000000000001,0.05,0.896881103515625,0.1,25,1,0.75,50,8,16,0.056400000000000006
55,0.3065,0.45,1.6997175216674805,1.0,25,2,0.55,50,1,32,0.14350000000000002
56,0.07930000000000001,0.05,3.1079206466674805,0.01,25,4,0.65,50,4,1,0.029300000000000007
57,0.0839,0.05,2.8883440494537354,1.0,50,1,0.35,50,2,4,0.0339
58,0.3254,0.45,3.7808547019958496,10.0,50,2,0.15,50,8,4,0.12459999999999999
59,0.3275,0.25,9.029406309127808,0.01,50,4,0.15,50,8,4,0.07750000000000001
60,0.46880000000000005,0.25,5.621416807174683,0.01,100,1,0.35,50,4,32,0.21880000000000005
61,0.0253,0.05,7.656996011734009,0.1,100,2,0.25,50,2,32,0.024700000000000003
62,0.49620000000000003,0.35,16.165844202041626,0.01,100,4,0.45,50,4,4,0.14620000000000005
63,0.0449,0.15,2.0909788608551025,10.0,25,1,0.45,100,16,4,0.1051
64,0.040400000000000005,0.05,3.730527877807617,0.1,25,2,0.55,100,1,16,0.009599999999999997
65,0.47490000000000004,0.45,6.020163297653198,1.0,25,4,0.45,100,8,4,0.024900000000000033
66,0.13390000000000002,0.25,3.081092596054077,0.1,50,1,0.35,100,2,32,0.11609999999999998
67,0.45570000000000005,0.45,5.572235584259033,0.01,50,2,0.25,100,4,1,0.005700000000000038
68,0.3297,0.35,15.732500553131104,10.0,50,4,0.65,100,2,16,0.020299999999999985
69,0.198,0.25,8.535557508468628,0.01,100,1,0.65,100,1,32,0.05199999999999999
70,0.007,0.05,15.443789005279541,1.0,100,2,0.75,100,1,32,0.043000000000000003
71,0.3309,0.35,31.52983021736145,0.1,100,4,0.85,100,4,16,0.01909999999999995
72,0.38830000000000003,0.25,3.060781240463257,0.01,25,1,0.65,200,4,1,0.13830000000000003
73,0.2891,0.15,5.622321128845215,0.1,25,2,0.95,200,16,1,0.13910000000000003
74,0.0944,0.05,12.673119068145752,0.1,25,4,0.85,200,8,1,0.044399999999999995
75,0.026600000000000002,0.05,5.808241605758667,1.0,50,1,0.15,200,4,4,0.0234
76,0.2705,0.45,9.664777040481567,10.0,50,2,0.75,200,16,4,0.1795
77,0.014,0.05,24.216185092926025,1.0,50,4,0.55,200,2,1,0.036000000000000004
78,0.4055,0.25,12.141247034072876,0.01,100,1,0.75,200,8,1,0.15550000000000003
79,0.4672,0.35,20.98681950569153,1.0,100,2,0.65,200,4,32,0.11720000000000003
80,0.1542,0.15,56.69947123527527,1.0,100,4,0.35,200,1,32,0.004200000000000009
81,0.1761,0.25,0.8829050064086914,10.0,25,1,0.35,50,8,4,0.0739
82,0.044000000000000004,0.05,1.8196098804473877,0.01,25,2,0.25,50,1,1,0.005999999999999998
83,0.10650000000000001,0.15,4.608692407608032,0.1,25,4,0.15,50,1,1,0.04349999999999998
84,0.43110000000000004,0.45,1.752204179763794,0.1,50,1,0.05,50,8,1,0.018899999999999972
85,0.0838,0.05,5.393803119659424,0.01,50,2,0.45,50,16,32,0.0338
86,0.39530000000000004,0.35,7.69494891166687,1.0,50,4,0.65,50,8,16,0.04530000000000006
87,0.1265,0.05,5.076054334640503,1.0,100,1,0.85,50,2,1,0.0765
88,0.4713,0.45,9.036116600036621,0.1,100,2,0.35,50,8,16,0.021299999999999986
89,0.47100000000000003,0.35,13.460444927215576,1.0,100,4,0.25,50,16,4,0.12100000000000005
90,0.22290000000000001,0.25,1.4616031646728516,0.1,25,1,0.25,100,4,1,0.027099999999999985
91,0.1321,0.25,3.026393175125122,1.0,25,2,0.35,100,8,32,0.1179
92,0.4838,0.35,5.244964361190796,0.01,25,4,0.55,100,16,32,0.13380000000000003
93,0.1245,0.05,2.379094123840332,1.0,50,1,0.25,100,8,16,0.0745
94,0.3292,0.15,4.78165340423584,1.0,50,2,0.65,100,8,16,0.1792
95,0.34750000000000003,0.25,8.442501068115234,0.01,50,4,0.45,100,16,4,0.09750000000000003
96,0.06420000000000001,0.15,4.818455696105957,0.1,100,1,0.35,100,8,32,0.08579999999999999
97,0.2847,0.35,11.503992080688477,0.1,100,2,0.45,100,2,1,0.06529999999999997
98,0.45680000000000004,0.35,25.333975791931152,0.01,100,4,0.15,100,2,4,0.10680000000000006
99,0.28900000000000003,0.05,3.2616841793060303,10.0,25,1,0.85,200,8,32,0.23900000000000005
100,0.3062,0.35,5.7143144607543945,0.1,25,2,0.15,200,2,1,0.04379999999999995
101,0.42850000000000005,0.35,14.34298062324524,1.0,25,4,0.05,200,4,32,0.07850000000000007
102,0.2994,0.15,5.254092693328857,10.0,50,1,0.75,200,8,4,0.1494
103,0.2267,0.15,10.325703620910645,10.0,50,2,0.55,200,2,16,0.07670000000000002
104,0.2539,0.15,20.855543613433838,0.01,50,4,0.05,200,16,1,0.10390000000000002
105,0.17,0.15,12.4231276512146,0.01,100,1,0.75,200,16,16,0.020000000000000018
106,0.12200000000000001,0.15,22.36428213119507,1.0,100,2,0.05,200,8,4,0.027999999999999983
107,0.2169,0.15,53.89714980125427,1.0,100,4,0.35,200,8,16,0.06690000000000002
108,0.0925,0.05,0.8539707660675049,0.1,25,1,0.65,50,8,1,0.042499999999999996
109,0.2553,0.35,1.5924627780914307,10.0,25,2,0.05,50,2,1,0.09469999999999995
110,0.4685,0.45,3.7192142009735107,0.01,25,4,0.45,50,16,16,0.018500000000000016
111,0.403,0.35,2.355384111404419,1.0,50,1,0.45,50,1,4,0.05300000000000005
112,0.4988,0.45,3.7848260402679443,1.0,50,2,0.55,50,4,1,0.04880000000000001
