,epsilon,distance_epsilon,sum_ab,evidences_per_t,time,real_epsilon,real_mu,T,N,edge_per_t,ensemble_size,calibration_batches
0,0.4187,0.031299999999999994,1.0,5,29.04235577583313,0.45,0.6,100,100,8,1,200
1,0.1441,0.014100000000000001,0.1,10,25.84985113143921,0.13,0.19999999999999998,100,100,1,1,200
2,0.0584,0.0716,0.1,5,26.783320426940918,0.13,0.8399999999999999,100,100,8,1,200
3,0.1182,0.1082,1.0,20,23.560678720474243,0.01,0.12,100,100,1,1,200
4,0.1487,0.018699999999999994,1.0,40,28.25547504425049,0.13,0.12,100,100,1,1,200
5,0.0257,0.1043,1.0,10,34.73681569099426,0.13,0.04,100,100,16,1,200
6,0.20420000000000002,0.0058,0.1,20,34.150158405303955,0.21000000000000002,0.6799999999999999,100,100,4,1,200
7,0.20370000000000002,0.04629999999999998,0.1,5,29.113884210586548,0.25,0.6,100,100,16,1,200
8,0.1532,0.0232,0.1,40,25.618861436843872,0.13,0.12,100,100,1,1,200
9,0.301,0.029000000000000026,10.0,5,37.589794397354126,0.33,0.4399999999999999,100,100,8,1,200
10,0.0095,0.0005000000000000004,1.0,10,29.907134532928467,0.01,0.9199999999999999,100,100,1,1,200
11,0.3569,0.0131,0.1,10,29.608691215515137,0.37,0.4399999999999999,100,100,8,1,200
12,0.4934,0.043399999999999994,10.0,5,32.99166393280029,0.45,0.6,100,100,4,1,200
13,0.155,0.05500000000000002,1.0,20,36.536927938461304,0.21000000000000002,0.4399999999999999,100,100,4,1,200
14,0.3057,0.09570000000000001,1.0,5,31.877561569213867,0.21000000000000002,0.19999999999999998,100,100,16,1,200
15,0.4021,0.007900000000000018,0.1,10,34.52310872077942,0.41000000000000003,0.6,100,100,4,1,200
16,0.2417,0.07169999999999999,10.0,40,32.39177060127258,0.17,0.04,100,100,4,1,200
17,0.3502,0.10020000000000001,10.0,40,36.214324712753296,0.25,0.4399999999999999,100,100,16,1,200
18,0.0066,0.0034000000000000002,1.0,20,32.9123113155365,0.01,0.6,100,100,16,1,200
19,0.30660000000000004,0.016600000000000004,1.0,10,34.32036089897156,0.29000000000000004,0.9199999999999999,100,100,4,1,200
20,0.0604,0.0104,10.0,40,32.565155029296875,0.05,0.5199999999999999,100,100,4,1,200
21,0.04,0.049999999999999996,0.1,40,40.829171895980835,0.09,0.19999999999999998,100,100,16,1,200
22,0.22,0.11000000000000001,1.0,40,32.00963068008423,0.33,0.12,100,100,8,1,200
23,0.1663,0.003700000000000009,10.0,5,27.610929012298584,0.17,0.9199999999999999,100,100,1,1,200
24,0.2666,0.016600000000000004,10.0,20,28.484667778015137,0.25,0.6,100,100,1,1,200
25,0.22260000000000002,0.0126,1.0,40,32.787147760391235,0.21000000000000002,0.6799999999999999,100,100,8,1,200
26,0.28850000000000003,0.0015000000000000013,10.0,10,30.72715473175049,0.29000000000000004,0.27999999999999997,100,100,1,1,200
27,0.1738,0.03620000000000001,1.0,40,31.63934588432312,0.21000000000000002,0.8399999999999999,100,100,16,1,200
28,0.14780000000000001,0.05780000000000002,0.1,20,36.76377511024475,0.09,0.6,100,100,16,1,200
29,0.47590000000000005,0.025900000000000034,10.0,40,35.28650951385498,0.45,0.7599999999999999,100,100,8,1,200
30,0.3453,0.0953,0.1,5,33.64362454414368,0.25,0.19999999999999998,100,100,8,1,200
31,0.4197,0.030299999999999994,0.1,5,35.3704354763031,0.45,0.6,100,100,16,1,200
32,0.1938,0.0638,1.0,20,28.08297610282898,0.13,0.8399999999999999,100,100,1,1,200
33,0.2043,0.11430000000000001,0.1,5,36.06782793998718,0.09,0.8399999999999999,100,100,8,1,200
34,0.4181,0.031899999999999984,1.0,20,42.126126289367676,0.45,0.7599999999999999,100,100,8,1,200
35,0.004200000000000001,0.0058,1.0,5,31.462538719177246,0.01,0.27999999999999997,100,100,1,1,200
36,0.2513,0.03870000000000001,0.1,20,31.61817169189453,0.29000000000000004,0.6,100,100,4,1,200
37,0.1837,0.01369999999999999,1.0,5,38.96998381614685,0.17,0.35999999999999993,100,100,16,1,200
38,0.31870000000000004,0.06870000000000004,0.1,10,31.36671733856201,0.25,0.6,100,100,4,1,200
39,0.3677,0.042300000000000004,0.1,5,38.1017050743103,0.41000000000000003,0.27999999999999997,100,100,16,1,200
40,0.3501,0.10010000000000002,10.0,20,45.71030640602112,0.25,0.27999999999999997,100,100,16,1,200
