,epsilon,distance_epsilon,mu,distance_mu,sum_ab,evidences_per_t,time,real_epsilon,real_mu,T,N,edge_per_t,ensemble_size,calibration_batches
0,0.38120000000000004,0.06879999999999997,0.3,0.3,1.0,5,42.536917209625244,0.45,0.6,100,100,8,1,200
1,0.1414,0.011399999999999993,0.8,0.6000000000000001,0.1,10,38.50901818275452,0.13,0.19999999999999998,100,100,1,1,200
2,0.08940000000000001,0.0406,0.28,0.5599999999999998,0.1,5,37.6602725982666,0.13,0.8399999999999999,100,100,8,1,200
3,0.2795,0.2695,0.48,0.36,1.0,20,37.47977089881897,0.01,0.12,100,100,1,1,200
4,0.22590000000000002,0.09590000000000001,0.97,0.85,1.0,40,37.7237606048584,0.13,0.12,100,100,1,1,200
5,0.049,0.081,0.48,0.44,1.0,10,39.66766333580017,0.13,0.04,100,100,16,1,200
6,0.1062,0.10380000000000002,0.15,0.5299999999999999,0.1,20,41.11168813705444,0.21000000000000002,0.6799999999999999,100,100,4,1,200
7,0.3321,0.0821,0.67,0.07000000000000006,0.1,5,46.08900785446167,0.25,0.6,100,100,16,1,200
8,0.17120000000000002,0.041200000000000014,0.23,0.11000000000000001,0.1,40,34.73689246177673,0.13,0.12,100,100,1,1,200
9,0.3029,0.027100000000000013,0.32,0.11999999999999988,10.0,5,35.91963505744934,0.33,0.4399999999999999,100,100,8,1,200
10,0.013600000000000001,0.0036000000000000008,0.91,0.009999999999999898,1.0,10,37.487621784210205,0.01,0.9199999999999999,100,100,1,1,200
11,0.3159,0.05409999999999998,0.03,0.4099999999999999,0.1,10,37.69109630584717,0.37,0.4399999999999999,100,100,8,1,200
12,0.4655,0.015500000000000014,0.9400000000000001,0.3400000000000001,10.0,5,41.113444328308105,0.45,0.6,100,100,4,1,200
13,0.131,0.07900000000000001,0.18,0.2599999999999999,1.0,20,43.54503393173218,0.21000000000000002,0.4399999999999999,100,100,4,1,200
14,0.1393,0.07070000000000001,0.32,0.12000000000000002,1.0,5,37.20124125480652,0.21000000000000002,0.19999999999999998,100,100,16,1,200
15,0.3849,0.02510000000000001,0.47000000000000003,0.12999999999999995,0.1,10,39.87585473060608,0.41000000000000003,0.6,100,100,4,1,200
16,0.075,0.09500000000000001,0.54,0.5,10.0,40,35.36606740951538,0.17,0.04,100,100,4,1,200
17,0.43220000000000003,0.18220000000000003,0.92,0.48000000000000015,10.0,40,48.87713694572449,0.25,0.4399999999999999,100,100,16,1,200
18,0.1301,0.1201,0.91,0.31000000000000005,1.0,20,40.85489249229431,0.01,0.6,100,100,16,1,200
19,0.3382,0.048199999999999965,0.09,0.83,1.0,10,58.57225251197815,0.29000000000000004,0.9199999999999999,100,100,4,1,200
20,0.1102,0.060200000000000004,0.33,0.1899999999999999,10.0,40,64.486159324646,0.05,0.5199999999999999,100,100,4,1,200
21,0.0281,0.0619,0.41000000000000003,0.21000000000000005,0.1,40,70.6468756198883,0.09,0.19999999999999998,100,100,16,1,200
22,0.219,0.11100000000000002,0.68,0.56,1.0,40,62.92096138000488,0.33,0.12,100,100,8,1,200
23,0.16240000000000002,0.007599999999999996,0.53,0.3899999999999999,10.0,5,54.24334001541138,0.17,0.9199999999999999,100,100,1,1,200
24,0.2585,0.008500000000000008,0.61,0.010000000000000009,10.0,20,53.085602045059204,0.25,0.6,100,100,1,1,200
25,0.226,0.015999999999999986,0.32,0.35999999999999993,1.0,40,44.368659257888794,0.21000000000000002,0.6799999999999999,100,100,8,1,200
26,0.32280000000000003,0.032799999999999996,0.22,0.05999999999999997,10.0,10,42.29938840866089,0.29000000000000004,0.27999999999999997,100,100,1,1,200
27,0.1844,0.02560000000000001,0.06,0.7799999999999998,1.0,40,62.76006531715393,0.21000000000000002,0.8399999999999999,100,100,16,1,200
28,0.159,0.069,0.45,0.14999999999999997,0.1,20,62.99907374382019,0.09,0.6,100,100,16,1,200
29,0.4707,0.020699999999999996,0.05,0.7099999999999999,10.0,40,57.18726134300232,0.45,0.7599999999999999,100,100,8,1,200
30,0.2371,0.012899999999999995,0.68,0.4800000000000001,0.1,5,61.67182779312134,0.25,0.19999999999999998,100,100,8,1,200
31,0.4833,0.033299999999999996,0.9500000000000001,0.3500000000000001,0.1,5,57.05401659011841,0.45,0.6,100,100,16,1,200
32,0.1952,0.06520000000000001,0.61,0.22999999999999987,1.0,20,65.88008451461792,0.13,0.8399999999999999,100,100,1,1,200
33,0.2637,0.1737,0.87,0.030000000000000138,0.1,5,63.17708134651184,0.09,0.8399999999999999,100,100,8,1,200
34,0.3698,0.0802,0.45,0.3099999999999999,1.0,20,61.352110147476196,0.45,0.7599999999999999,100,100,8,1,200
35,0.0419,0.0319,0.1,0.17999999999999997,1.0,5,33.43188428878784,0.01,0.27999999999999997,100,100,1,1,200
36,0.2509,0.039100000000000024,0.22,0.38,0.1,20,43.92482018470764,0.29000000000000004,0.6,100,100,4,1,200
37,0.1796,0.009599999999999997,0.9,0.54,1.0,5,41.93464922904968,0.17,0.35999999999999993,100,100,16,1,200
38,0.3345,0.08450000000000002,0.61,0.010000000000000009,0.1,10,42.098079442977905,0.25,0.6,100,100,4,1,200
39,0.4067,0.003300000000000025,0.8200000000000001,0.54,0.1,5,38.93666648864746,0.41000000000000003,0.27999999999999997,100,100,16,1,200
40,0.4338,0.18380000000000002,0.97,0.69,10.0,20,40.22864484786987,0.25,0.27999999999999997,100,100,16,1,200
41,0.0954,0.045399999999999996,0.62,0.05999999999999994,10.0,40,37.33921003341675,0.05,0.6799999999999999,100,100,16,1,200
42,0.0426,0.0474,0.79,0.51,1.0,10,45.18483066558838,0.09,0.27999999999999997,100,100,16,1,200
43,0.32030000000000003,0.030299999999999994,0.21,0.47,0.1,5,37.44201183319092,0.29000000000000004,0.6799999999999999,100,100,8,1,200
44,0.1178,0.0678,0.36,0.3999999999999999,0.1,10,41.46812391281128,0.05,0.7599999999999999,100,100,8,1,200
45,0.0368,0.026799999999999997,0.78,0.4200000000000001,1.0,5,36.163737297058105,0.01,0.35999999999999993,100,100,8,1,200
46,0.0049,0.0051,0.88,0.6000000000000001,0.1,10,37.38076710700989,0.01,0.27999999999999997,100,100,1,1,200
47,0.4187,0.031299999999999994,0.8200000000000001,0.09999999999999987,10.0,20,41.427836894989014,0.45,0.9199999999999999,100,100,8,1,200
48,0.013600000000000001,0.0036000000000000008,0.71,0.59,10.0,5,33.789868116378784,0.01,0.12,100,100,1,1,200
49,0.1482,0.021800000000000014,0.03,0.4899999999999999,1.0,20,37.64070773124695,0.17,0.5199999999999999,100,100,16,1,200
50,0.1087,0.01870000000000001,0.38,0.10000000000000003,0.1,20,43.64841842651367,0.09,0.27999999999999997,100,100,16,1,200
51,0.4181,0.008099999999999996,0.14,0.05999999999999997,1.0,5,41.950007915496826,0.41000000000000003,0.19999999999999998,100,100,8,1,200
52,0.35850000000000004,0.05149999999999999,0.54,0.26000000000000006,10.0,40,35.631274461746216,0.41000000000000003,0.27999999999999997,100,100,8,1,200
53,0.3839,0.06609999999999999,0.15,0.20999999999999994,0.1,40,36.570051193237305,0.45,0.35999999999999993,100,100,4,1,200
54,0.08700000000000001,0.002999999999999989,0.58,0.5399999999999999,1.0,40,40.07554006576538,0.09,0.04,100,100,16,1,200
55,0.41500000000000004,0.04500000000000004,0.26,0.019999999999999962,10.0,20,41.52015447616577,0.37,0.27999999999999997,100,100,8,1,200
56,0.3337,0.07630000000000003,0.4,0.11999999999999988,0.1,5,34.32560849189758,0.41000000000000003,0.5199999999999999,100,100,1,1,200
