,epsilon,distance_epsilon,mu,distance_mu,sum_ab,evidences_per_t,time,real_epsilon,real_mu,T,N,edge_per_t,ensemble_size,calibration_batches
0,0.4227,0.02729999999999999,0.53,0.06999999999999995,1.0,5,37.25060820579529,0.45,0.6,100,100,8,1,200
1,0.10060000000000001,0.029399999999999996,0.32,0.12000000000000002,0.1,10,27.211618900299072,0.13,0.19999999999999998,100,100,1,1,200
2,0.0692,0.06080000000000001,0.17,0.6699999999999998,0.1,5,39.65161967277527,0.13,0.8399999999999999,100,100,8,1,200
3,0.111,0.101,0.89,0.77,1.0,20,29.941165685653687,0.01,0.12,100,100,1,1,200
4,0.1335,0.003500000000000003,0.9500000000000001,0.8300000000000001,1.0,40,30.45912790298462,0.13,0.12,100,100,1,1,200
5,0.13240000000000002,0.0024000000000000132,0.76,0.72,1.0,10,34.63548803329468,0.13,0.04,100,100,16,1,200
6,0.1822,0.02780000000000002,0.81,0.13000000000000012,0.1,20,37.27020311355591,0.21000000000000002,0.6799999999999999,100,100,4,1,200
7,0.262,0.01200000000000001,0.08,0.52,0.1,5,36.24602460861206,0.25,0.6,100,100,16,1,200
8,0.2295,0.0995,0.07,0.04999999999999999,0.1,40,29.344921112060547,0.13,0.12,100,100,1,1,200
9,0.4007,0.07069999999999999,0.89,0.4500000000000001,10.0,5,33.31709671020508,0.33,0.4399999999999999,100,100,8,1,200
10,0.0094,0.0005999999999999998,0.49,0.42999999999999994,1.0,10,25.439039707183838,0.01,0.9199999999999999,100,100,1,1,200
11,0.28350000000000003,0.08649999999999997,0.34,0.09999999999999987,0.1,10,35.27079176902771,0.37,0.4399999999999999,100,100,8,1,200
12,0.4808,0.030799999999999994,0.61,0.010000000000000009,10.0,5,35.2388231754303,0.45,0.6,100,100,4,1,200
13,0.185,0.025000000000000022,0.9400000000000001,0.5000000000000002,1.0,20,36.94473576545715,0.21000000000000002,0.4399999999999999,100,100,4,1,200
14,0.27940000000000004,0.06940000000000002,0.5,0.30000000000000004,1.0,5,29.46320676803589,0.21000000000000002,0.19999999999999998,100,100,16,1,200
15,0.4212,0.011199999999999988,0.74,0.14,0.1,10,34.11093020439148,0.41000000000000003,0.6,100,100,4,1,200
16,0.1381,0.03190000000000001,0.14,0.1,10.0,40,35.30317044258118,0.17,0.04,100,100,4,1,200
17,0.369,0.119,0.29,0.1499999999999999,10.0,40,38.41500234603882,0.25,0.4399999999999999,100,100,16,1,200
18,0.0085,0.0014999999999999996,0.66,0.06000000000000005,1.0,20,34.76661252975464,0.01,0.6,100,100,16,1,200
19,0.327,0.03699999999999998,0.11,0.8099999999999999,1.0,10,35.00259304046631,0.29000000000000004,0.9199999999999999,100,100,4,1,200
20,0.037000000000000005,0.012999999999999998,0.85,0.33000000000000007,10.0,40,32.935446977615356,0.05,0.5199999999999999,100,100,4,1,200
21,0.0763,0.01369999999999999,0.78,0.5800000000000001,0.1,40,34.95175814628601,0.09,0.19999999999999998,100,100,16,1,200
22,0.1709,0.15910000000000002,0.84,0.72,1.0,40,32.09135556221008,0.33,0.12,100,100,8,1,200
23,0.16110000000000002,0.008899999999999991,0.36,0.5599999999999999,10.0,5,27.442615032196045,0.17,0.9199999999999999,100,100,1,1,200
24,0.2313,0.018699999999999994,0.53,0.06999999999999995,10.0,20,24.320232629776,0.25,0.6,100,100,1,1,200
25,0.2871,0.0771,0.58,0.09999999999999998,1.0,40,33.232932567596436,0.21000000000000002,0.6799999999999999,100,100,8,1,200
26,0.3577,0.06769999999999998,0.75,0.47000000000000003,10.0,10,32.51749801635742,0.29000000000000004,0.27999999999999997,100,100,1,1,200
27,0.1283,0.08170000000000002,0.6900000000000001,0.1499999999999998,1.0,40,30.0035343170166,0.21000000000000002,0.8399999999999999,100,100,16,1,200
28,0.1501,0.060100000000000015,0.44,0.15999999999999998,0.1,20,34.687028646469116,0.09,0.6,100,100,16,1,200
29,0.4985,0.04849999999999999,0.72,0.039999999999999925,10.0,40,32.65212035179138,0.45,0.7599999999999999,100,100,8,1,200
30,0.2104,0.039599999999999996,0.24,0.04000000000000001,0.1,5,36.96205449104309,0.25,0.19999999999999998,100,100,8,1,200
31,0.4228,0.027200000000000002,0.5700000000000001,0.029999999999999916,0.1,5,32.43933153152466,0.45,0.6,100,100,16,1,200
32,0.203,0.07300000000000001,0.9400000000000001,0.1000000000000002,1.0,20,26.60777759552002,0.13,0.8399999999999999,100,100,1,1,200
33,0.26080000000000003,0.17080000000000004,0.47000000000000003,0.36999999999999983,0.1,5,41.19831395149231,0.09,0.8399999999999999,100,100,8,1,200
34,0.4046,0.045399999999999996,0.67,0.08999999999999986,1.0,20,33.783275842666626,0.45,0.7599999999999999,100,100,8,1,200
35,0.0014,0.0086,0.4,0.12000000000000005,1.0,5,27.54730200767517,0.01,0.27999999999999997,100,100,1,1,200
36,0.25320000000000004,0.0368,0.36,0.24,0.1,20,33.427043437957764,0.29000000000000004,0.6,100,100,4,1,200
37,0.21730000000000002,0.04730000000000001,0.92,0.56,1.0,5,38.11507844924927,0.17,0.35999999999999993,100,100,16,1,200
38,0.30410000000000004,0.05410000000000004,0.64,0.040000000000000036,0.1,10,29.273996353149414,0.25,0.6,100,100,4,1,200
39,0.37120000000000003,0.0388,0.21,0.06999999999999998,0.1,5,34.19991588592529,0.41000000000000003,0.27999999999999997,100,100,16,1,200
40,0.29710000000000003,0.04710000000000003,0.91,0.6300000000000001,10.0,20,34.49407625198364,0.25,0.27999999999999997,100,100,16,1,200
41,0.0722,0.022199999999999998,0.61,0.06999999999999995,10.0,40,34.6768012046814,0.05,0.6799999999999999,100,100,16,1,200
42,0.0755,0.014499999999999999,0.63,0.35000000000000003,1.0,10,33.72741103172302,0.09,0.27999999999999997,100,100,16,1,200
43,0.3503,0.060299999999999965,0.04,0.6399999999999999,0.1,5,30.978727340698242,0.29000000000000004,0.6799999999999999,100,100,8,1,200
44,0.1144,0.0644,0.76,1.1102230246251565e-16,0.1,10,36.189000606536865,0.05,0.7599999999999999,100,100,8,1,200
45,0.0159,0.005900000000000001,0.46,0.10000000000000009,1.0,5,37.24993872642517,0.01,0.35999999999999993,100,100,8,1,200
46,0.0132,0.0031999999999999997,0.35000000000000003,0.07000000000000006,0.1,10,29.98898434638977,0.01,0.27999999999999997,100,100,1,1,200
47,0.4269,0.02310000000000001,0.84,0.07999999999999996,10.0,20,31.564460277557373,0.45,0.9199999999999999,100,100,8,1,200
48,0.0177,0.0077,0.02,0.09999999999999999,10.0,5,28.083773136138916,0.01,0.12,100,100,1,1,200
49,0.15480000000000002,0.015199999999999991,0.87,0.3500000000000001,1.0,20,28.382086277008057,0.17,0.5199999999999999,100,100,16,1,200
50,0.15660000000000002,0.06660000000000002,0.97,0.69,0.1,20,32.921574115753174,0.09,0.27999999999999997,100,100,16,1,200
51,0.4108,0.0007999999999999674,0.23,0.030000000000000027,1.0,5,30.114352703094482,0.41000000000000003,0.19999999999999998,100,100,8,1,200
