,epsilon,mu,distance_epsilon,distance_mu,time,real_epsilon,real_mu,T,N,edge_per_t,ensemble_size,calibration_batches
0,0.0025,0.34,0.0075,0.5799999999999998,11.691601514816284,0.01,0.9199999999999999,100,100,4,2,200
1,0.27790000000000004,0.9,0.06790000000000002,0.86,2.461181640625,0.21000000000000002,0.04,50,400,4,8,25
2,0.1704,0.02,0.0804,0.25999999999999995,3.8233206272125244,0.09,0.27999999999999997,200,50,32,2,25
3,0.2281,0.02,0.058099999999999985,0.6599999999999999,0.7448563575744629,0.17,0.6799999999999999,50,400,8,1,50
4,0.387,0.15,0.063,0.44999999999999996,21.505274057388306,0.45,0.6,400,50,32,2,100
5,0.3123,0.96,0.06230000000000002,0.1200000000000001,6.552762508392334,0.25,0.8399999999999999,100,200,32,2,100
6,0.2393,0.0,0.10930000000000001,0.35999999999999993,11.29590106010437,0.13,0.35999999999999993,400,50,16,1,100
7,0.0285,0.13,0.1015,0.3899999999999999,7.302812337875366,0.13,0.5199999999999999,50,200,16,8,50
8,0.35850000000000004,0.98,0.14850000000000002,0.54,6.179308652877808,0.21000000000000002,0.4399999999999999,50,100,8,4,100
9,0.2225,0.09,0.1475,0.10999999999999999,24.971757411956787,0.37,0.19999999999999998,200,200,8,2,200
10,0.13720000000000002,0.99,0.032799999999999996,0.4700000000000001,6.593592882156372,0.17,0.5199999999999999,50,50,32,4,100
11,0.0626,0.67,0.2674,0.23000000000000015,1.8889894485473633,0.33,0.4399999999999999,200,400,32,1,25
12,0.3507,0.23,0.019299999999999984,0.2899999999999999,23.05659246444702,0.37,0.5199999999999999,200,400,1,8,50
13,0.301,0.44,0.029000000000000026,0.4799999999999999,5.421795129776001,0.33,0.9199999999999999,100,200,1,4,50
14,0.2243,0.9400000000000001,0.10570000000000002,0.3400000000000001,76.44935202598572,0.33,0.6,400,400,8,8,100
15,0.2866,0.99,0.2766,0.95,5.994477987289429,0.01,0.04,50,200,32,8,50
16,0.2553,0.01,0.04530000000000001,0.3499999999999999,13.425007343292236,0.21000000000000002,0.35999999999999993,50,50,16,8,100
17,0.3002,0.03,0.010199999999999987,0.6499999999999999,0.6978821754455566,0.29000000000000004,0.6799999999999999,50,400,1,2,25
18,0.20950000000000002,0.13,0.0005000000000000004,0.47,6.978233098983765,0.21000000000000002,0.6,100,200,1,1,200
19,0.1748,0.38,0.08480000000000001,0.5399999999999999,0.46052002906799316,0.09,0.9199999999999999,50,200,8,1,25
20,0.0345,0.01,0.0155,0.7499999999999999,17.961024045944214,0.05,0.7599999999999999,400,100,32,1,200
21,0.0441,0.01,0.045899999999999996,0.9099999999999999,89.46954894065857,0.09,0.9199999999999999,400,200,16,8,100
22,0.04,0.29,0.049999999999999996,0.1499999999999999,1.249309778213501,0.09,0.4399999999999999,50,50,2,4,25
23,0.12090000000000001,0.1,0.03090000000000001,0.41999999999999993,1.2454628944396973,0.09,0.5199999999999999,50,400,32,4,25
24,0.1058,0.47000000000000003,0.01580000000000001,0.04999999999999988,2.5658891201019287,0.09,0.5199999999999999,100,200,1,1,100
25,0.15480000000000002,0.06,0.06480000000000002,0.6199999999999999,4.634627819061279,0.09,0.6799999999999999,100,50,4,4,50
26,0.10400000000000001,0.11,0.025999999999999995,0.7299999999999999,6.670959949493408,0.13,0.8399999999999999,50,400,32,2,200
27,0.2832,0.9,0.08679999999999999,0.14000000000000012,25.984710693359375,0.37,0.7599999999999999,50,200,16,8,200
28,0.0103,0.75,0.0002999999999999999,0.55,6.31963849067688,0.01,0.19999999999999998,100,50,1,2,100
29,0.0791,0.01,0.010899999999999993,0.6699999999999999,20.534907817840576,0.09,0.6799999999999999,400,50,1,8,25
30,0.43970000000000004,0.99,0.1497,0.71,38.955734968185425,0.29000000000000004,0.27999999999999997,400,400,8,8,50
31,0.44060000000000005,0.04,0.19060000000000005,0.3999999999999999,26.903932094573975,0.25,0.4399999999999999,100,400,16,8,100
32,0.1287,0.9400000000000001,0.16130000000000003,0.5800000000000001,44.02783799171448,0.29000000000000004,0.35999999999999993,400,100,16,8,50
33,0.0007,0.06,0.2093,0.54,46.093775510787964,0.21000000000000002,0.6,400,50,32,8,50
34,0.4555,0.01,0.005500000000000005,0.59,11.688907623291016,0.45,0.6,50,400,8,4,200
35,0.2414,0.14,0.031399999999999983,0.13999999999999996,0.9949841499328613,0.21000000000000002,0.27999999999999997,100,400,4,1,25
36,0.0796,0.8,0.0504,0.36000000000000015,11.998655319213867,0.13,0.4399999999999999,400,400,4,4,25
37,0.42600000000000005,0.04,0.023999999999999966,0.07999999999999999,24.5687472820282,0.45,0.12,200,400,2,8,50
38,0.010100000000000001,0.0,0.1199,0.5199999999999999,1.5332324504852295,0.13,0.5199999999999999,200,400,16,1,25
39,0.040600000000000004,0.98,0.04939999999999999,0.06000000000000005,5.567991733551025,0.09,0.9199999999999999,200,200,32,1,100
40,0.3931,0.17,0.02310000000000001,0.2699999999999999,28.085628271102905,0.37,0.4399999999999999,50,100,4,8,200
41,0.0536,0.02,0.036399999999999995,0.18,6.798884153366089,0.09,0.19999999999999998,200,100,32,4,25
42,0.11760000000000001,0.88,0.25239999999999996,0.76,22.77768301963806,0.37,0.12,400,400,32,8,25
43,0.2005,0.01,0.009500000000000008,0.7499999999999999,3.1539554595947266,0.21000000000000002,0.7599999999999999,100,50,4,2,50
44,0.1789,0.52,0.2711,0.07999999999999996,0.8667030334472656,0.45,0.6,50,100,32,2,25
45,0.08410000000000001,0.0,0.07410000000000001,0.4399999999999999,20.283450603485107,0.01,0.4399999999999999,400,100,8,4,50
46,0.2576,0.97,0.15240000000000004,0.85,11.951385259628296,0.41000000000000003,0.12,200,50,8,8,25
47,0.006500000000000001,0.04,0.1235,0.8799999999999999,40.94713115692139,0.13,0.9199999999999999,400,200,16,8,50
48,0.2728,0.5700000000000001,0.01720000000000005,0.10999999999999988,3.554410457611084,0.29000000000000004,0.6799999999999999,50,400,2,1,200
49,0.1874,0.12,0.10260000000000002,0.7999999999999999,12.385128021240234,0.29000000000000004,0.9199999999999999,200,400,4,1,200
50,0.2561,0.07,0.006099999999999994,0.3699999999999999,13.745614528656006,0.25,0.4399999999999999,50,100,8,4,200
51,0.21380000000000002,0.02,0.1162,0.02,45.93092703819275,0.33,0.04,400,50,8,2,200
52,0.0523,0.24,0.0022999999999999965,0.03999999999999998,10.097747802734375,0.05,0.27999999999999997,400,400,2,4,25
53,0.2679,0.18,0.02210000000000001,0.13999999999999999,12.693809032440186,0.29000000000000004,0.04,200,200,1,4,50
54,0.3582,0.0,0.1482,0.27999999999999997,6.862796306610107,0.21000000000000002,0.27999999999999997,400,100,16,1,50
55,0.0454,0.01,0.12460000000000002,0.26999999999999996,6.500938415527344,0.17,0.27999999999999997,50,50,8,8,50
56,0.019,0.0,0.009,0.35999999999999993,22.40912389755249,0.01,0.35999999999999993,400,200,16,8,25
57,0.10640000000000001,0.19,0.2636,0.07,3.0091490745544434,0.37,0.12,50,100,32,4,50
58,0.1165,0.98,0.053500000000000006,0.78,4.811726331710815,0.17,0.19999999999999998,200,100,16,4,25
59,0.023,0.0,0.10700000000000001,0.6799999999999999,1.0574531555175781,0.13,0.6799999999999999,50,50,16,2,25
60,0.20090000000000002,0.0,0.15090000000000003,0.5199999999999999,45.924837827682495,0.05,0.5199999999999999,400,50,32,4,100
61,0.3886,0.92,0.058599999999999985,0.6400000000000001,6.079019546508789,0.33,0.27999999999999997,100,200,4,1,200
62,0.028200000000000003,0.81,0.1418,0.4500000000000001,6.341593027114868,0.17,0.35999999999999993,100,200,8,8,25
63,0.2066,0.06,0.08340000000000003,0.3799999999999999,5.98173713684082,0.29000000000000004,0.4399999999999999,200,100,1,4,25
64,0.38330000000000003,0.02,0.0267,0.02,18.615334510803223,0.41000000000000003,0.04,200,50,8,8,50
65,0.09240000000000001,0.11,0.19760000000000003,0.4099999999999999,4.96566367149353,0.29000000000000004,0.5199999999999999,100,200,32,8,25
66,0.19290000000000002,0.16,0.057099999999999984,0.11999999999999997,3.6113438606262207,0.25,0.27999999999999997,50,100,2,1,200
67,0.0269,0.98,0.0169,0.06000000000000005,9.065886735916138,0.01,0.9199999999999999,200,100,32,2,100
68,0.0074,0.09,0.0426,0.10999999999999999,24.115635871887207,0.05,0.19999999999999998,100,100,8,4,200
69,0.0287,0.1,0.18130000000000002,0.2599999999999999,10.88848090171814,0.21000000000000002,0.35999999999999993,200,50,16,1,200
70,0.0323,0.07,0.0223,0.04999999999999999,1.1994543075561523,0.01,0.12,100,50,4,2,25
71,0.0431,0.73,0.006900000000000003,0.10999999999999988,5.476628541946411,0.05,0.8399999999999999,50,400,8,4,100
72,0.1189,0.01,0.011099999999999999,0.59,21.384003400802612,0.13,0.6,100,400,32,8,100
73,0.21400000000000002,0.98,0.196,0.06000000000000005,3.3320133686065674,0.41000000000000003,0.9199999999999999,50,100,16,8,25
74,0.0148,0.17,0.0048000000000000004,0.5099999999999999,37.23290777206421,0.01,0.6799999999999999,400,400,1,2,200
75,0.0212,0.91,0.0112,0.3900000000000001,5.927034616470337,0.01,0.5199999999999999,50,400,16,2,200
76,0.10700000000000001,0.92,0.063,1.1102230246251565e-16,2.713594675064087,0.17,0.9199999999999999,100,400,8,2,50
77,0.13570000000000002,0.31,0.0343,0.5299999999999998,20.98739790916443,0.17,0.8399999999999999,400,400,2,1,200
78,0.1153,0.42,0.014700000000000005,0.18,9.290818929672241,0.13,0.6,100,400,2,4,100
79,0.0089,0.04,0.0011000000000000003,0.07999999999999999,3.080674409866333,0.01,0.12,100,400,16,2,50
80,0.45940000000000003,0.8,0.0494,0.039999999999999813,21.442103385925293,0.41000000000000003,0.8399999999999999,100,200,4,8,100
81,0.4752,0.06,0.0252,0.13999999999999999,3.7315564155578613,0.45,0.19999999999999998,100,400,32,2,50
82,0.0173,0.03,0.03270000000000001,0.32999999999999996,5.596875429153442,0.05,0.35999999999999993,100,100,8,1,200
83,0.155,0.01,0.015000000000000013,0.11,1.3048007488250732,0.17,0.12,50,400,2,4,25
84,0.3855,0.01,0.09549999999999997,0.11,73.70235133171082,0.29000000000000004,0.12,400,400,4,8,100
85,0.3961,0.23,0.013900000000000023,0.04999999999999996,1.2284698486328125,0.41000000000000003,0.27999999999999997,50,100,2,2,25
86,0.1335,0.01,0.04350000000000001,0.18999999999999997,8.562229871749878,0.09,0.19999999999999998,200,50,32,4,50
87,0.07680000000000001,0.04,0.06680000000000001,0.15999999999999998,0.3936796188354492,0.01,0.19999999999999998,50,100,32,1,25
88,0.2048,0.99,0.1252,0.79,1.3727009296417236,0.33,0.19999999999999998,50,50,8,2,50
89,0.2985,0.26,0.07150000000000001,0.41999999999999993,20.584744930267334,0.37,0.6799999999999999,400,400,1,1,200
90,0.1736,0.02,0.003599999999999992,0.8999999999999999,2.22019100189209,0.17,0.9199999999999999,400,50,8,1,25
91,0.23900000000000002,0.02,0.189,0.3399999999999999,2.543867826461792,0.05,0.35999999999999993,200,200,16,2,25
92,0.3008,0.03,0.1708,0.24999999999999997,1.143010139465332,0.13,0.27999999999999997,200,50,8,1,25
93,0.0009000000000000001,0.18,0.0891,0.2599999999999999,20.052592754364014,0.09,0.4399999999999999,400,50,32,1,200
94,0.28950000000000004,0.01,0.19950000000000004,0.5099999999999999,3.0215346813201904,0.09,0.5199999999999999,50,100,8,2,100
95,0.1043,0.99,0.0543,0.2300000000000001,2.5659146308898926,0.05,0.7599999999999999,50,200,32,4,50
96,0.19490000000000002,0.96,0.1351,0.20000000000000007,3.198861598968506,0.33,0.7599999999999999,100,400,16,1,100
97,0.0709,0.73,0.1391,0.13,6.5358991622924805,0.21000000000000002,0.6,50,50,4,4,100
98,0.1486,0.75,0.018600000000000005,0.2300000000000001,11.980788707733154,0.13,0.5199999999999999,50,200,4,8,100
99,0.30760000000000004,0.99,0.017600000000000005,0.79,20.383588075637817,0.29000000000000004,0.19999999999999998,200,400,1,8,50
100,0.2706,0.04,0.01940000000000003,0.23999999999999996,1.837216854095459,0.29000000000000004,0.27999999999999997,50,400,2,1,100
101,0.0029000000000000002,0.79,0.2471,0.51,8.088819980621338,0.25,0.27999999999999997,400,200,16,4,25
102,0.2084,0.89,0.08160000000000003,0.85,1.0552091598510742,0.29000000000000004,0.04,100,50,1,1,50
103,0.2092,0.02,0.08080000000000004,0.3399999999999999,11.106022119522095,0.29000000000000004,0.35999999999999993,50,400,32,4,200
104,0.3546,0.8,0.02460000000000001,0.1200000000000001,5.707988262176514,0.33,0.6799999999999999,50,200,4,2,200
105,0.0917,0.98,0.0417,0.06000000000000005,11.74314022064209,0.05,0.9199999999999999,100,200,32,2,200
106,0.299,0.99,0.209,0.95,6.915748596191406,0.09,0.04,100,100,32,1,200
107,0.1527,0.96,0.022699999999999998,0.84,41.77792429924011,0.13,0.12,100,400,4,8,200
108,0.39530000000000004,0.09,0.05469999999999997,0.42999999999999994,20.88054060935974,0.45,0.5199999999999999,400,100,4,8,25
109,0.11470000000000001,0.02,0.015299999999999994,0.4999999999999999,2.8456547260284424,0.13,0.5199999999999999,50,100,32,2,100
110,0.12090000000000001,0.79,0.08910000000000001,0.67,4.581977128982544,0.21000000000000002,0.12,100,50,1,4,50
111,0.20320000000000002,0.08,0.2068,0.7599999999999999,9.914424180984497,0.41000000000000003,0.8399999999999999,400,200,32,4,25
112,0.24280000000000002,0.02,0.007199999999999984,0.02,10.673155546188354,0.25,0.04,400,400,8,1,100
113,0.124,0.02,0.034,0.02,6.957772970199585,0.09,0.04,100,100,8,1,200
114,0.17850000000000002,0.17,0.2315,0.5099999999999999,41.63750982284546,0.41000000000000003,0.6799999999999999,200,100,32,4,200
115,0.3977,0.1,0.012300000000000033,0.2599999999999999,4.966303586959839,0.41000000000000003,0.35999999999999993,400,400,1,1,50
116,0.22390000000000002,0.05,0.013899999999999996,0.22999999999999998,3.132693290710449,0.21000000000000002,0.27999999999999997,100,50,4,1,100
117,0.3057,0.0,0.015699999999999992,0.19999999999999998,22.075048446655273,0.29000000000000004,0.19999999999999998,100,400,1,8,100
118,0.28650000000000003,0.08,0.08349999999999996,0.4399999999999999,21.46016812324524,0.37,0.5199999999999999,100,100,32,4,200
119,0.0063,0.75,0.0837,0.07000000000000006,20.56965732574463,0.09,0.6799999999999999,200,100,4,2,200
120,0.1218,0.04,0.008199999999999999,0.4799999999999999,20.5897159576416,0.13,0.5199999999999999,200,400,2,2,200
121,0.2054,0.25,0.03539999999999999,0.2699999999999999,6.196393728256226,0.17,0.5199999999999999,100,400,2,4,50
122,0.4052,0.99,0.19519999999999998,0.55,20.946134567260742,0.21000000000000002,0.4399999999999999,400,400,16,8,25
123,0.0415,0.61,0.048499999999999995,0.010000000000000009,2.734255313873291,0.09,0.6,100,400,8,2,50
124,0.2436,0.99,0.0864,0.31000000000000005,40.527796268463135,0.33,0.6799999999999999,400,50,1,4,100
125,0.1051,0.1,0.10490000000000002,0.7399999999999999,1.345254898071289,0.21000000000000002,0.8399999999999999,50,100,16,4,25
126,0.24680000000000002,0.01,0.0031999999999999806,0.3499999999999999,157.48807501792908,0.25,0.35999999999999993,400,200,4,8,200
127,0.1726,0.06,0.002599999999999991,0.8599999999999999,20.55785059928894,0.17,0.9199999999999999,200,100,1,4,100
128,0.1038,0.02,0.18620000000000003,0.8199999999999998,41.26313233375549,0.29000000000000004,0.8399999999999999,400,400,16,4,100
129,0.0363,0.02,0.026299999999999997,0.8199999999999998,0.7180366516113281,0.01,0.8399999999999999,50,100,8,2,25
130,0.4213,1.0,0.011299999999999977,0.08000000000000007,4.366086483001709,0.41000000000000003,0.9199999999999999,200,50,1,2,50
131,0.2988,0.91,0.008799999999999975,0.55,5.544619798660278,0.29000000000000004,0.35999999999999993,100,400,2,1,200
132,0.4177,0.07,0.007699999999999985,0.4499999999999999,6.91346549987793,0.41000000000000003,0.5199999999999999,200,100,2,1,100
133,0.3085,0.41000000000000003,0.0615,0.34999999999999987,6.078717947006226,0.37,0.7599999999999999,50,100,1,4,100
134,0.1105,0.02,0.05950000000000001,0.6599999999999999,10.030782461166382,0.17,0.6799999999999999,200,100,8,4,50
135,0.0468,0.08,0.0032000000000000015,0.7599999999999999,153.46713185310364,0.05,0.8399999999999999,400,400,2,8,200
136,0.028300000000000002,0.18,0.18170000000000003,0.49999999999999994,10.801896810531616,0.21000000000000002,0.6799999999999999,100,100,8,8,50
137,0.045000000000000005,0.01,0.04499999999999999,0.4299999999999999,22.171621799468994,0.09,0.4399999999999999,400,400,32,1,200
138,0.43510000000000004,0.01,0.1451,0.11,10.767799377441406,0.29000000000000004,0.12,100,200,16,2,200
139,0.0357,0.78,0.0143,0.10000000000000009,22.577065467834473,0.05,0.6799999999999999,400,400,1,1,200
140,0.1203,0.06,0.04970000000000001,0.21999999999999997,5.780547380447388,0.17,0.27999999999999997,50,400,8,8,50
141,0.1223,0.89,0.0076999999999999985,0.029999999999999916,9.969543695449829,0.13,0.9199999999999999,200,400,2,2,100
142,0.25070000000000003,0.26,0.1593,0.019999999999999962,2.986283302307129,0.41000000000000003,0.27999999999999997,100,200,8,4,25
143,0.0587,0.64,0.0087,0.36000000000000004,4.796681880950928,0.05,0.27999999999999997,100,100,2,2,100
144,0.0043,0.8,0.4057,0.11999999999999988,10.945287704467773,0.41000000000000003,0.9199999999999999,400,50,32,4,25
145,0.42350000000000004,0.01,0.026499999999999968,0.18999999999999997,7.527481555938721,0.45,0.19999999999999998,50,100,4,8,50
146,0.43570000000000003,0.08,0.0257,0.7599999999999999,10.729013681411743,0.41000000000000003,0.8399999999999999,200,400,1,2,100
147,0.0262,0.99,0.0162,0.87,2.303382396697998,0.01,0.12,200,200,1,1,50
148,0.0126,0.05,0.2374,0.5499999999999999,5.3330090045928955,0.25,0.6,100,100,16,2,100
149,0.29050000000000004,0.0,0.040500000000000036,0.04,14.744511604309082,0.25,0.04,100,100,8,8,50
150,0.0511,0.05,0.0010999999999999968,0.5499999999999999,11.42906141281128,0.05,0.6,50,400,4,8,100
151,0.162,0.01,0.008000000000000007,0.11,20.129262447357178,0.17,0.12,400,400,4,1,200
152,0.0109,1.0,0.0791,0.2400000000000001,5.947818279266357,0.09,0.7599999999999999,50,200,16,2,200
153,0.20600000000000002,0.03,0.036000000000000004,0.32999999999999996,45.78779125213623,0.17,0.35999999999999993,100,50,1,8,200
154,0.2775,0.09,0.1325,0.6699999999999999,39.97157430648804,0.41000000000000003,0.7599999999999999,400,100,8,4,100
155,0.135,0.27,0.04500000000000001,0.32999999999999996,22.315509557724,0.09,0.6,100,200,1,4,200
156,0.1335,0.01,0.0835,0.03,10.25193476676941,0.05,0.04,400,100,4,1,100
157,0.44820000000000004,1.0,0.39820000000000005,0.72,167.1212134361267,0.05,0.27999999999999997,400,200,32,8,200
158,0.2629,0.44,0.10709999999999997,0.32,2.434128761291504,0.37,0.12,200,200,2,1,50
159,0.18780000000000002,0.9,0.01780000000000001,0.6200000000000001,1.8713455200195312,0.17,0.27999999999999997,50,400,1,2,50
160,0.34900000000000003,0.0,0.09900000000000003,0.9199999999999999,46.45873498916626,0.25,0.9199999999999999,400,50,8,4,100
161,0.2972,0.98,0.11280000000000001,0.06000000000000005,86.82690215110779,0.41000000000000003,0.9199999999999999,400,400,8,8,100
162,0.3029,0.73,0.10710000000000003,0.45,1.0561115741729736,0.41000000000000003,0.27999999999999997,100,100,8,1,25
163,0.0284,0.98,0.30160000000000003,0.94,2.727667808532715,0.33,0.04,200,50,4,2,25
164,0.079,0.06,0.010999999999999996,0.21999999999999997,1.6820147037506104,0.09,0.27999999999999997,50,400,1,1,100
165,0.0026000000000000003,0.01,0.0074,0.7499999999999999,3.7821402549743652,0.01,0.7599999999999999,50,100,1,1,200
166,0.1227,0.99,0.16730000000000003,0.15000000000000013,2.0928685665130615,0.29000000000000004,0.8399999999999999,200,50,8,1,25
167,0.29610000000000003,0.14,0.1139,0.2999999999999999,42.8353226184845,0.41000000000000003,0.4399999999999999,200,100,4,8,100
168,0.0378,0.97,0.0922,0.53,6.056463956832886,0.13,0.4399999999999999,400,400,32,2,25
169,0.057600000000000005,0.91,0.23240000000000002,0.7100000000000001,5.247602462768555,0.29000000000000004,0.19999999999999998,200,50,16,4,25
170,0.40290000000000004,1.0,0.07290000000000002,0.4800000000000001,2.7162094116210938,0.33,0.5199999999999999,100,200,8,2,50
171,0.1447,0.01,0.025300000000000017,0.5099999999999999,4.804425239562988,0.17,0.5199999999999999,100,400,2,4,50
172,0.42450000000000004,0.02,0.09450000000000003,0.4999999999999999,43.801543951034546,0.33,0.5199999999999999,200,200,8,8,100
173,0.28900000000000003,0.01,0.11900000000000002,0.6699999999999999,0.443300724029541,0.17,0.6799999999999999,50,400,8,1,25
174,0.09000000000000001,0.24,1.3877787807814457e-17,0.2799999999999999,4.945279359817505,0.09,0.5199999999999999,50,200,2,8,50
175,0.1126,0.04,0.05740000000000001,0.3999999999999999,13.116092443466187,0.17,0.4399999999999999,100,50,4,8,50
176,0.254,0.06,0.124,0.4599999999999999,4.201026678085327,0.13,0.5199999999999999,50,200,16,1,200
177,0.2096,0.98,0.04039999999999999,0.06000000000000005,14.056525945663452,0.25,0.9199999999999999,50,100,16,4,200
178,0.3361,0.23,0.07390000000000002,0.44999999999999996,3.518791913986206,0.41000000000000003,0.6799999999999999,400,200,1,1,25
179,0.3144,0.15,0.05559999999999998,0.2899999999999999,0.7756192684173584,0.37,0.4399999999999999,50,400,1,2,25
180,0.1832,0.11,0.026800000000000018,0.07,47.33941292762756,0.21000000000000002,0.04,200,100,1,8,100
181,0.28500000000000003,0.98,0.044999999999999984,0.54,3.344327926635742,0.33,0.4399999999999999,100,400,16,2,50
182,0.0976,0.98,0.15239999999999998,0.4600000000000001,1.40720796585083,0.25,0.5199999999999999,50,400,8,1,50
183,0.0007,0.38,0.009300000000000001,0.10000000000000003,13.005937576293945,0.01,0.27999999999999997,100,400,8,2,200
184,0.0267,0.68,0.0167,0.64,7.033672094345093,0.01,0.04,100,200,4,8,25
185,0.313,0.89,0.09700000000000003,0.21000000000000008,23.742546558380127,0.41000000000000003,0.6799999999999999,400,50,4,2,100
186,0.0698,0.67,0.020199999999999996,0.3100000000000001,2.617558002471924,0.09,0.35999999999999993,50,200,8,1,100
187,0.2896,0.33,0.00040000000000001146,0.050000000000000044,2.4907891750335693,0.29000000000000004,0.27999999999999997,200,400,1,2,25
188,0.2696,0.88,0.10039999999999999,0.52,2.62837815284729,0.37,0.35999999999999993,100,400,32,4,25
189,0.2742,0.04,0.0958,0.0,2.5938148498535156,0.37,0.04,100,50,2,4,25
190,0.0025,0.15,0.0075,0.5299999999999999,83.93860244750977,0.01,0.6799999999999999,200,50,1,8,200
191,0.0256,0.67,0.0244,0.009999999999999898,12.816605806350708,0.05,0.6799999999999999,200,100,2,2,100
192,0.1015,0.02,0.01150000000000001,0.7399999999999999,1.6187067031860352,0.09,0.7599999999999999,100,50,4,2,25
193,0.1578,0.99,0.052200000000000024,0.79,12.985938549041748,0.21000000000000002,0.19999999999999998,400,200,4,1,100
194,0.3136,0.22,0.13640000000000002,0.38,13.7921462059021,0.45,0.6,100,50,32,2,200
195,0.3118,0.05,0.021799999999999986,0.30999999999999994,3.2812581062316895,0.29000000000000004,0.35999999999999993,50,400,2,1,200
196,0.054,0.9500000000000001,0.044,0.030000000000000138,11.644121408462524,0.01,0.9199999999999999,50,100,16,4,200
197,0.0492,0.08,0.12080000000000002,0.6,12.22005009651184,0.17,0.6799999999999999,400,100,16,4,25
198,0.13970000000000002,0.98,0.030299999999999994,0.6200000000000001,6.405719518661499,0.17,0.35999999999999993,200,50,2,1,100
199,0.1265,0.77,0.2435,0.01000000000000012,5.848650693893433,0.37,0.7599999999999999,100,200,32,4,50
