,epsilon,distance_epsilon,mu,distance_mu,time,real_epsilon,real_mu,T,N,edge_per_t,ensemble_size,calibration_batches
0,0.4365,0.013500000000000012,0.31,0.29,15.289706707000732,0.45,0.6,100,100,8,1,200
1,0.117,0.012999999999999998,0.37,0.17,11.476732015609741,0.13,0.19999999999999998,100,100,1,1,200
2,0.0526,0.0774,0.97,0.13000000000000012,16.024664402008057,0.13,0.8399999999999999,100,100,8,1,200
3,0.138,0.128,0.38,0.26,9.83694863319397,0.01,0.12,100,100,1,1,200
4,0.1582,0.028200000000000003,0.84,0.72,10.063037872314453,0.13,0.12,100,100,1,1,200
5,0.11470000000000001,0.015299999999999994,0.87,0.83,17.217780113220215,0.13,0.04,100,100,16,1,200
6,0.21480000000000002,0.004799999999999999,0.02,0.6599999999999999,15.311086654663086,0.21000000000000002,0.6799999999999999,100,100,4,1,200
7,0.2273,0.022699999999999998,0.74,0.14,14.871559143066406,0.25,0.6,100,100,16,1,200
8,0.1252,0.004799999999999999,0.9500000000000001,0.8300000000000001,12.344404220581055,0.13,0.12,100,100,1,1,200
9,0.4021,0.0721,0.02,0.4199999999999999,15.78418231010437,0.33,0.4399999999999999,100,100,8,1,200
10,0.004200000000000001,0.0058,0.66,0.2599999999999999,9.920671939849854,0.01,0.9199999999999999,100,100,1,1,200
11,0.382,0.01200000000000001,0.5700000000000001,0.13000000000000017,16.457897186279297,0.37,0.4399999999999999,100,100,8,1,200
12,0.4741,0.02410000000000001,0.8200000000000001,0.22000000000000008,17.38256335258484,0.45,0.6,100,100,4,1,200
13,0.1998,0.010200000000000015,0.58,0.14000000000000007,16.363028287887573,0.21000000000000002,0.4399999999999999,100,100,4,1,200
14,0.2868,0.07679999999999998,0.87,0.67,16.635010957717896,0.21000000000000002,0.19999999999999998,100,100,16,1,200
15,0.4329,0.022899999999999976,0.78,0.18000000000000005,18.791273832321167,0.41000000000000003,0.6,100,100,4,1,200
16,0.1724,0.0023999999999999855,0.2,0.16,11.081016063690186,0.17,0.04,100,100,4,1,200
17,0.2752,0.0252,0.24,0.1999999999999999,16.62503480911255,0.25,0.4399999999999999,100,100,16,1,200
18,0.0002,0.0098,0.29,0.31,15.088802814483643,0.01,0.6,100,100,16,1,200
