,epsilon,mu,distance_epsilon,distance_mu,time,real_epsilon,real_mu,T,N,edge_per_t,ensemble_size,calibration_batches
0,0.1375,1.0,0.007500000000000007,0.2400000000000001,10.179773807525635,0.13,0.7599999999999999,100,100,4,1,400
1,0.040600000000000004,0.88,0.009399999999999999,0.76,10.611491203308105,0.05,0.12,100,100,4,1,400
2,0.009000000000000001,0.9400000000000001,0.0009999999999999992,0.1000000000000002,11.006948232650757,0.01,0.8399999999999999,100,100,4,1,400
3,0.24130000000000001,0.72,0.008699999999999986,0.11999999999999988,10.234485864639282,0.25,0.8399999999999999,100,100,4,1,400
4,0.44720000000000004,0.71,0.03720000000000001,0.1299999999999999,10.274571657180786,0.41000000000000003,0.8399999999999999,100,100,4,1,400
5,0.24180000000000001,0.45,0.008199999999999985,0.0699999999999999,10.219793319702148,0.25,0.5199999999999999,100,100,4,1,400
6,0.0019,0.04,0.0081,0.15999999999999998,9.553178071975708,0.01,0.19999999999999998,100,100,4,1,400
7,0.0018000000000000002,0.23,0.0082,0.5299999999999999,10.885592937469482,0.01,0.7599999999999999,100,100,4,1,400
8,0.0835,0.8300000000000001,0.006499999999999992,0.6300000000000001,9.997658491134644,0.09,0.19999999999999998,100,100,4,1,400
9,0.23070000000000002,0.18,0.05930000000000002,0.06,10.77965760231018,0.29000000000000004,0.12,100,100,4,1,400
10,0.18630000000000002,0.39,0.0237,0.030000000000000082,11.399610757827759,0.21000000000000002,0.35999999999999993,100,100,4,1,400
11,0.046700000000000005,0.8,0.0032999999999999974,0.52,10.536986351013184,0.05,0.27999999999999997,100,100,4,1,400
12,0.27590000000000003,0.87,0.025900000000000034,0.27,11.601269006729126,0.25,0.6,100,100,4,1,400
13,0.35950000000000004,0.25,0.010499999999999954,0.35,9.644113540649414,0.37,0.6,100,100,4,1,400
14,0.18560000000000001,0.6,0.015600000000000003,0.15999999999999992,10.167344093322754,0.17,0.7599999999999999,100,100,4,1,400
15,0.19360000000000002,0.68,0.016399999999999998,0.08000000000000007,10.718498229980469,0.21000000000000002,0.6,100,100,4,1,400
16,0.0166,0.6900000000000001,0.0066,0.06999999999999984,10.358490943908691,0.01,0.7599999999999999,100,100,4,1,400
17,0.2931,0.19,0.0030999999999999917,0.009999999999999981,11.38614821434021,0.29000000000000004,0.19999999999999998,100,100,4,1,400
18,0.1091,0.79,0.019100000000000006,0.4300000000000001,10.46396017074585,0.09,0.35999999999999993,100,100,4,1,400
19,0.2607,0.27,0.029300000000000048,0.15000000000000002,10.136560440063477,0.29000000000000004,0.12,100,100,4,1,400
20,0.4015,0.23,0.04849999999999999,0.11000000000000001,10.634230375289917,0.45,0.12,100,100,4,1,400
21,0.1955,0.9,0.025499999999999995,0.22000000000000008,10.91423487663269,0.17,0.6799999999999999,100,100,4,1,400
22,0.4415,0.05,0.008500000000000008,0.010000000000000002,11.41531252861023,0.45,0.04,100,100,4,1,400
23,0.194,0.86,0.016000000000000014,0.10000000000000009,11.687623977661133,0.21000000000000002,0.7599999999999999,100,100,4,1,400
24,0.23320000000000002,0.54,0.01679999999999998,0.21999999999999986,11.054438591003418,0.25,0.7599999999999999,100,100,4,1,400
25,0.20600000000000002,0.03,0.0040000000000000036,0.010000000000000002,10.450830936431885,0.21000000000000002,0.04,100,100,4,1,400
26,0.25220000000000004,0.47000000000000003,0.042200000000000015,0.36999999999999983,9.989574670791626,0.21000000000000002,0.8399999999999999,100,100,4,1,400
27,0.027700000000000002,0.71,0.0177,0.6699999999999999,10.159774780273438,0.01,0.04,100,100,4,1,400
28,0.20750000000000002,0.21,0.0025000000000000022,0.71,10.813706398010254,0.21000000000000002,0.9199999999999999,100,100,4,1,400
29,0.14,0.42,0.010000000000000009,0.18,10.474653959274292,0.13,0.6,100,100,4,1,400
30,0.1129,0.66,0.017100000000000004,0.54,10.781888246536255,0.13,0.12,100,100,4,1,400
31,0.2503,0.92,0.03970000000000001,0.16000000000000014,9.573367357254028,0.29000000000000004,0.7599999999999999,100,100,4,1,400
32,0.0713,0.26,0.0213,0.5799999999999998,10.78289008140564,0.05,0.8399999999999999,100,100,4,1,400
33,0.10260000000000001,0.28,0.012600000000000014,0.5599999999999998,11.353200674057007,0.09,0.8399999999999999,100,100,4,1,400
34,0.4194,0.23,0.009399999999999964,0.12999999999999992,10.638844966888428,0.41000000000000003,0.35999999999999993,100,100,4,1,400
35,0.2119,0.33,0.001899999999999985,0.1899999999999999,9.018298864364624,0.21000000000000002,0.5199999999999999,100,100,4,1,400
36,0.2122,0.96,0.0021999999999999797,0.44000000000000006,10.008681297302246,0.21000000000000002,0.5199999999999999,100,100,4,1,400
37,0.36410000000000003,0.17,0.005899999999999961,0.05000000000000002,10.152549266815186,0.37,0.12,100,100,4,1,400
38,0.3043,0.81,0.0257,0.4500000000000001,9.927489042282104,0.33,0.35999999999999993,100,100,4,1,400
39,0.16090000000000002,0.5700000000000001,0.009099999999999997,0.2699999999999998,11.2869393825531,0.17,0.8399999999999999,100,100,4,1,400
40,0.26080000000000003,0.1,0.010800000000000032,0.41999999999999993,10.738540172576904,0.25,0.5199999999999999,100,100,4,1,400
41,0.0371,0.15,0.012900000000000002,0.5299999999999999,10.208536148071289,0.05,0.6799999999999999,100,100,4,1,400
42,0.34440000000000004,0.11,0.014400000000000024,0.07,10.659510850906372,0.33,0.04,100,100,4,1,400
43,0.1575,0.11,0.027499999999999997,0.4099999999999999,11.317082166671753,0.13,0.5199999999999999,100,100,4,1,400
44,0.3559,0.9500000000000001,0.02589999999999998,0.27000000000000013,10.586183071136475,0.33,0.6799999999999999,100,100,4,1,400
