ensemble_size,calibration_batches,edge_per_t,T,real_epsilon,mu,rho,epsilon_msm,time_msm,abs_error_msm,rel_error_msm,epsilon_pgabm,time_pgabm,abs_error_pgabm,rel_error_pgabm,num_epochs
1,400,1,16,0.38573997216738537,0.1,16,0.25377,2.9192731380462646,0.13196997216738537,0.3421215888669148,0.4300179621425707,0.02748703956604004,0.04427798997518534,0.114787144631129,75.0
1,400,1,32,0.18666932209343812,0.1,16,0.06789,4.345669746398926,0.11877932209343811,0.6363087451187218,0.10962560480199195,0.02626824378967285,0.07704371729144617,0.4127283285085356,71.0
1,400,1,64,0.2451388049388774,0.1,16,0.27505,7.153771877288818,0.02991119506112261,0.12201738141205602,0.30068624801579746,0.013488054275512695,0.055547443076920056,0.2265958793866609,37.0
1,400,1,128,0.0553040501951807,0.1,16,0.02655,12.78207802772522,0.028754050195180698,0.5199266616766954,0.054940666689136046,0.03300642967224121,0.00036338350604465247,0.006570649071129304,88.0
1,400,1,256,0.014062153749081818,0.1,16,0.054920000000000004,24.145474195480347,0.040857846250918185,2.905518385018794,0.039698393986024275,0.046033620834350586,0.025636240236942456,1.823066416025807,121.0
1,400,1,512,0.3570484755701902,0.1,16,0.36829,46.6362087726593,0.011241524429809802,0.03148458878547961,0.3600193249108658,0.023268938064575195,0.0029708493406755965,0.00832057701949654,60.0
1,400,4,16,0.02317246365118042,0.1,16,0.07095,3.2464890480041504,0.04777753634881958,2.061823769281682,0.019992644446375937,0.06380701065063477,0.003179819204804483,0.13722404543042624,173.0
1,400,4,32,0.029732434269799934,0.1,16,0.08575,5.011059761047363,0.05601756573020007,1.8840558166842962,0.04047089303862841,0.044965505599975586,0.010738458768828472,0.36116984809870833,120.0
1,400,4,64,0.286519767327944,0.1,16,0.28668000000000005,8.549293279647827,0.00016023267205605984,0.0005592377571375771,0.26954686990755156,0.011919260025024414,0.01697289742039243,0.059238137663868894,32.0
1,400,4,128,0.02724279532399565,0.1,16,0.014110000000000001,15.621602058410645,0.013132795323995649,0.4820648970786118,0.028381360282748912,0.05701756477355957,0.0011385649587532624,0.04179325011300901,149.0
1,400,4,256,0.051315686464953214,0.1,16,0.049940000000000005,29.769917488098145,0.0013756864649532088,0.02680830287426348,0.06985144845753667,0.02714848518371582,0.018535761992583458,0.36121044595676843,69.0
1,400,4,512,0.41793840185458114,0.1,16,0.42368000000000006,58.03736448287964,0.0057415981454189136,0.013737905203113314,0.4252661406359766,0.0303347110748291,0.007327738781395476,0.017533059295051605,73.0
1,400,16,16,0.349460499256195,0.1,16,0.43345000000000006,3.245375394821167,0.08398950074380507,0.24034047030371533,0.34520139561507196,0.019843578338623047,0.00425910364112303,0.012187653970014546,53.0
1,400,16,32,0.06740757591782542,0.1,16,0.01007,4.997175216674805,0.05733757591782542,0.8506102635662787,0.0527018277145591,0.03481435775756836,0.014705748203266325,0.21816165324196893,92.0
1,400,16,64,0.419726698294848,0.1,16,0.43134000000000006,8.525543928146362,0.011613301705152068,0.02766872289118478,0.4282947771081586,0.029099702835083008,0.00856807881331062,0.020413471070862756,75.0
1,400,16,128,0.11176050352872396,0.1,16,0.00952,15.590021848678589,0.10224050352872396,0.9148178497822066,0.11014952531146639,0.02938055992126465,0.001610978217257572,0.014414557615549118,71.0
1,400,16,256,0.17380554510651391,0.1,16,0.14793,29.760744094848633,0.02587554510651391,0.14887640719780545,0.17584051703599937,0.019820213317871094,0.0020349719294854574,0.01170832569374215,44.0
1,400,16,512,0.27966918431354004,0.1,16,0.28334000000000004,58.09752321243286,0.003670815686459994,0.013125563674346774,0.2850197216767738,0.016570091247558594,0.005350537363233765,0.019131665779935275,32.0
1,400,64,16,0.47534518287536787,0.1,16,0.49503,3.2487714290618896,0.01968481712463216,0.041411626400752605,0.46971061021971605,0.0626220703125,0.005634572655651815,0.011853644169839332,160.0
1,400,64,32,0.28420274322667066,0.1,16,0.22813000000000003,5.0323216915130615,0.056072743226670635,0.1972983884323343,0.27955394055289934,0.013012170791625977,0.004648802673771324,0.016357346241600467,32.0
1,400,64,64,0.45201823598367435,0.1,16,0.49693000000000004,8.586432695388794,0.044911764016325684,0.09935830115037167,0.4464724499434242,0.050089359283447266,0.0055457860402501336,0.012268943150449426,112.0
1,400,64,128,0.48861691572419563,0.1,16,0.46806000000000003,15.686980724334717,0.0205569157241956,0.042071641530722494,0.46446390517317954,0.07972979545593262,0.024153010551016096,0.049431384329415004,153.0
