N,T,edge_per_t,tot_edges,epsilon,epsilon0,mu,epsilon_pgabm,time_pgabm,epsilon_msm,time_msm,calibration_batches,distance_pgabm,distance_msm
100,100,1,100,0.48500999454415616,0.25,0.7035193311050811,0.5134110199014023,0.19558119773864746,0.4902,0.25583696365356445,20,0.02840102535724609,0.00519000545584386
100,100,1,100,0.4234144007450176,0.25,0.668456167589482,0.44296256052586735,0.2444918155670166,0.4141,0.61073899269104,50,0.019548159780849728,0.009314400745017604
100,100,1,100,0.11992387957379308,0.25,0.3785805932506022,0.14548497453420547,0.12400650978088379,0.1212,1.220369815826416,100,0.025561094960412395,0.0012761204262069226
100,464,1,464,0.24688485713436498,0.25,0.1881942600298212,0.26973262214848376,0.0840144157409668,0.28800000000000003,0.5023424625396729,20,0.02284776501411878,0.04111514286563506
100,464,1,464,0.3099778591906899,0.25,0.7470048290299451,0.3277719217846625,0.11801409721374512,0.3121,1.255467176437378,50,0.017794062593972648,0.0021221408093101135
100,464,1,464,0.41449044977508936,0.25,0.34037929076546725,0.4125561004193815,0.2546408176422119,0.4212,2.515045642852783,100,0.001934349355707854,0.006709550224910654
100,2154,1,2154,0.07839569732304214,0.25,0.7384411953627139,0.12358472467589382,0.3342313766479492,0.0946,2.553691864013672,20,0.045189027352851685,0.01620430267695787
100,2154,1,2154,0.009288101088704759,0.25,0.4530185136301024,0.07452001207227792,0.592278003692627,0.0095,6.301787614822388,50,0.06523191098357316,0.00021189891129524095
100,2154,1,2154,0.035011071859611165,0.25,0.4880867635570839,0.09434069089406498,0.478914737701416,0.0316,12.942796468734741,100,0.059329619034453815,0.0034110718596111617
100,10000,1,10000,0.2431725554685159,0.25,0.005698169898313444,0.26235404699782544,1.2040929794311523,0.2401,30.156832695007324,20,0.019181491529309536,0.0030725554685158973
100,10000,1,10000,0.3031647308266652,0.25,0.12884640397580635,0.31361755492896426,1.165574312210083,0.309,76.02751541137695,50,0.010452824102299085,0.005835269173334823
100,10000,1,10000,0.28442571854324067,0.25,0.07013130048643348,0.3008907824250729,1.1842312812805176,0.2863,151.23781824111938,100,0.01646506388183222,0.0018742814567593302
464,100,1,100,0.15868120466108038,0.25,0.2292050272920657,0.18881489823247843,0.30492138862609863,0.15380000000000002,0.2515287399291992,20,0.030133693571398057,0.004881204661080357
464,100,1,100,0.49430807720622444,0.25,0.4338833762117006,0.5133094637986422,0.3066682815551758,0.4722,0.6108498573303223,50,0.019001386592417735,0.02210807720622443
464,100,1,100,0.28987260962289846,0.25,0.3824674572709176,0.2948684835236768,0.12670612335205078,0.2561,1.2255654335021973,100,0.004995873900778325,0.033772609622898464
464,464,1,464,0.1900705863117752,0.25,0.46978904008636024,0.2205353699440382,0.5332884788513184,0.1824,0.5165133476257324,20,0.030464783632262987,0.007670586311775196
464,464,1,464,0.2754741095589484,0.25,0.9794833541798064,0.295882508107011,0.13216900825500488,0.281,1.2571163177490234,50,0.02040839854806259,0.005525890441051617
464,464,1,464,0.37266721545325104,0.25,0.36437807036823044,0.38025669463764594,0.22351598739624023,0.37970000000000004,2.552421808242798,100,0.007589479184394898,0.0070327845467489936
464,2154,1,2154,0.3346164467265923,0.25,0.7190437635432122,0.34517123253487,0.37221622467041016,0.3381,2.554006576538086,20,0.010554785808277678,0.0034835532734077135
464,2154,1,2154,0.1324597788314047,0.25,0.5132475362580246,0.16351927982430536,0.31475377082824707,0.1308,6.39247727394104,50,0.031059500992900668,0.0016597788314046957
464,2154,1,2154,0.033167417214220785,0.25,0.8255627568314604,0.08988207355069426,0.5421895980834961,0.036000000000000004,12.850935935974121,100,0.056714656336473476,0.0028325827857792196
464,10000,1,10000,0.18504209895705315,0.25,0.0709905702299144,0.211609324851387,1.498835802078247,0.1933,30.37471628189087,20,0.026567225894333857,0.008257901042946852
464,10000,1,10000,0.31485875351078224,0.25,0.0491037360373015,0.33077439190965996,1.2340199947357178,0.3025,75.78315305709839,50,0.01591563839887772,0.01235875351078225
464,10000,1,10000,0.1050870049574198,0.25,0.18220384793139366,0.14339919927895825,1.6934120655059814,0.1034,151.66177105903625,100,0.038312194321538456,0.0016870049574197882
2154,100,1,100,0.37637777686940693,0.25,0.04353426375776537,0.40123014158836523,0.16363263130187988,0.3431,0.24592089653015137,20,0.024852364718958297,0.033277776869406916
2154,100,1,100,0.03326824067705747,0.25,0.9507534280610023,0.1047384310363893,0.31130290031433105,0.014700000000000001,0.6166894435882568,50,0.07147019035933183,0.01856824067705747
