N,T,edge_per_t,evidences_per_t,optimizer_name,num_epochs,lr,model_name,minibatch_size,X0_lr_scale,epsilon_estimated,X0_r2,time,last_iteration,real_epsilon,mu,rho,distance_epsilon
100,64,16,8,adam,200,0.001,BC_with_evidence,0,1,0.2753214352407704,-2.8019979000091553,13.621134996414185,201,0.4051236819472956,0.46009316453280896,16,0.12980224670652518
100,64,16,8,adam,200,0.001,BC_with_evidence,0,10,0.27426706967856873,-1.2572968006134033,12.387756824493408,201,0.4051236819472956,0.46009316453280896,16,0.13085661226872686
100,64,16,8,adam,200,0.001,BC_with_evidence,16,1,0.2751068729843917,-0.9159642457962036,13.734136819839478,201,0.4051236819472956,0.46009316453280896,16,0.1300168089629039
100,64,16,8,adam,200,0.001,BC_with_evidence,16,10,0.27933051703623424,-1.1490473747253418,16.42152500152588,201,0.4051236819472956,0.46009316453280896,16,0.12579316491106135
100,64,16,8,adam,200,0.001,BC_with_evidence,32,1,0.2760897018303991,-1.220822811126709,14.117035150527954,201,0.4051236819472956,0.46009316453280896,16,0.12903398011689649
100,64,16,8,adam,200,0.001,BC_with_evidence,32,10,0.27804015430959067,-1.1243088245391846,15.936602354049683,201,0.4051236819472956,0.46009316453280896,16,0.12708352763770492
100,64,16,8,adam,200,0.005,BC_with_evidence,0,1,0.3719877880554239,0.21404767036437988,16.12423586845398,201,0.4051236819472956,0.46009316453280896,16,0.033135893891871715
100,64,16,8,adam,200,0.005,BC_with_evidence,0,10,0.2764361553385228,-2.8403494358062744,13.846437215805054,201,0.4051236819472956,0.46009316453280896,16,0.1286875266087728
100,64,16,8,adam,200,0.005,BC_with_evidence,16,1,0.3068709118869877,-0.466011643409729,15.221010208129883,201,0.4051236819472956,0.46009316453280896,16,0.09825277006030791
100,64,16,8,adam,200,0.005,BC_with_evidence,16,10,0.311079121573099,-0.5469456911087036,13.78218388557434,201,0.4051236819472956,0.46009316453280896,16,0.09404456037419656
100,64,16,8,adam,200,0.005,BC_with_evidence,32,1,0.2993832468272035,-0.18796193599700928,12.008631944656372,201,0.4051236819472956,0.46009316453280896,16,0.10574043512009207
100,64,16,8,adam,200,0.005,BC_with_evidence,32,10,0.2982408520731912,-0.37986695766448975,11.362080574035645,201,0.4051236819472956,0.46009316453280896,16,0.10688282987410441
100,64,16,8,adam,200,0.01,BC_with_evidence,0,1,0.3523263660886702,-0.2999011278152466,11.398999214172363,201,0.4051236819472956,0.46009316453280896,16,0.052797315858625404
100,64,16,8,adam,200,0.01,BC_with_evidence,0,10,0.3470133645407375,-0.33696138858795166,13.810176372528076,201,0.4051236819472956,0.46009316453280896,16,0.05811031740655809
100,64,16,8,adam,200,0.01,BC_with_evidence,16,1,0.3143093584244776,-0.2807958126068115,15.907233238220215,201,0.4051236819472956,0.46009316453280896,16,0.09081432352281799
100,64,16,8,adam,200,0.01,BC_with_evidence,16,10,0.33985285998925846,0.026762664318084717,15.127259731292725,201,0.4051236819472956,0.46009316453280896,16,0.06527082195803713
100,64,16,8,adam,200,0.01,BC_with_evidence,32,1,0.3476179590059165,-0.16140007972717285,14.688886165618896,201,0.4051236819472956,0.46009316453280896,16,0.05750572294137907
100,64,16,8,adam,200,0.01,BC_with_evidence,32,10,0.3377802034417273,-0.2626938819885254,15.47985553741455,201,0.4051236819472956,0.46009316453280896,16,0.06734347850556827
100,64,16,8,adam,200,0.05,BC_with_evidence,0,1,0.3045134526978278,-3.3272337913513184,13.923478364944458,201,0.4051236819472956,0.46009316453280896,16,0.10061022924946778
100,64,16,8,adam,200,0.05,BC_with_evidence,0,10,0.3141260193484091,-1.7520499229431152,14.650387048721313,201,0.4051236819472956,0.46009316453280896,16,0.09099766259888648
100,64,16,8,adam,200,0.05,BC_with_evidence,16,1,0.43692173811711504,0.010888636112213135,14.012189865112305,201,0.4051236819472956,0.46009316453280896,16,0.031798056169819455
100,64,16,8,adam,200,0.05,BC_with_evidence,16,10,0.553157244040165,0.14836126565933228,11.056386709213257,201,0.4051236819472956,0.46009316453280896,16,0.1480335620928694
100,64,16,8,adam,200,0.05,BC_with_evidence,32,1,0.4225272678895815,-0.03508567810058594,10.984747171401978,201,0.4051236819472956,0.46009316453280896,16,0.017403585942285915
100,64,16,8,adam,200,0.05,BC_with_evidence,32,10,0.4554207315805051,-0.17671442031860352,12.428799629211426,201,0.4051236819472956,0.46009316453280896,16,0.05029704963320952
100,64,16,8,adam,200,0.1,BC_with_evidence,0,1,0.3551098813258529,-0.6599297523498535,14.474169731140137,201,0.4051236819472956,0.46009316453280896,16,0.05001380062144267
100,64,16,8,adam,200,0.1,BC_with_evidence,0,10,0.42624959733353096,0.28114545345306396,15.754803657531738,201,0.4051236819472956,0.46009316453280896,16,0.021125915386235372
100,64,16,8,adam,200,0.1,BC_with_evidence,16,1,0.5273836329525815,-0.19214880466461182,14.632271528244019,201,0.4051236819472956,0.46009316453280896,16,0.12225995100528592
100,64,16,8,adam,200,0.1,BC_with_evidence,16,10,0.7335993954290356,0.0644039511680603,13.958216428756714,201,0.4051236819472956,0.46009316453280896,16,0.32847571348174004
100,64,16,8,adam,200,0.1,BC_with_evidence,32,1,0.5322877925853329,-0.060947537422180176,15.579286098480225,201,0.4051236819472956,0.46009316453280896,16,0.1271641106380373
100,64,16,8,adam,200,0.1,BC_with_evidence,32,10,0.42673259889556603,0.08902627229690552,13.983797311782837,201,0.4051236819472956,0.46009316453280896,16,0.02160891694827044
100,64,16,8,adam,400,0.001,BC_with_evidence,0,1,0.27595927365746037,-1.9444267749786377,27.19001007080078,401,0.4051236819472956,0.46009316453280896,16,0.12916440828983522
100,64,16,8,adam,400,0.001,BC_with_evidence,0,10,0.2798897360868519,-2.282531976699829,26.227415800094604,401,0.4051236819472956,0.46009316453280896,16,0.12523394586044367
100,64,16,8,adam,400,0.001,BC_with_evidence,16,1,0.29005110803225714,-1.250636100769043,30.61276078224182,401,0.4051236819472956,0.46009316453280896,16,0.11507257391503845
100,64,16,8,adam,400,0.001,BC_with_evidence,16,10,0.2907233326769743,-0.9812450408935547,30.225118160247803,401,0.4051236819472956,0.46009316453280896,16,0.11440034927032128
100,64,16,8,adam,400,0.001,BC_with_evidence,32,1,0.28479133646791643,-0.9998701810836792,28.936710357666016,401,0.4051236819472956,0.46009316453280896,16,0.12033234547937915
100,64,16,8,adam,400,0.001,BC_with_evidence,32,10,0.2701615668417862,-0.43009209632873535,25.831650257110596,401,0.4051236819472956,0.46009316453280896,16,0.13496211510550937
100,64,16,8,adam,400,0.005,BC_with_evidence,0,1,0.29000508430841254,-2.552334785461426,23.825677394866943,401,0.4051236819472956,0.46009316453280896,16,0.11511859763888305
