N,T,edge_per_t,evidences_per_t,optimizer_name,lr,model_name,epsilon_estimated,time,num_epochs,X0_mse,real_epsilon,mu,rho,distance_epsilon
100,20,4,5,adam,0.0001,simple_BC,0.25372836941030474,0.08365201950073242,201,,0.33367421747465714,0.4903787362789922,15,0.0799458480643524
100,20,4,5,adam,0.0001,BC_with_evidence,0.24629606674488172,7.777270078659058,201,0.15682536363601685,0.33367421747465714,0.4903787362789922,15,0.08737815072977542
100,20,4,5,adam,0.0001,BC_observed_positive,0.2537361213215375,0.5380814075469971,201,,0.33367421747465714,0.4903787362789922,15,0.07993809615311964
100,20,4,5,adam,0.0005,simple_BC,0.2680465797706351,0.07111811637878418,201,,0.33367421747465714,0.4903787362789922,15,0.06562763770402202
100,20,4,5,adam,0.0005,BC_with_evidence,0.23075832783083688,7.926068067550659,201,0.15953364968299866,0.33367421747465714,0.4903787362789922,15,0.10291588964382026
100,20,4,5,adam,0.0005,BC_observed_positive,0.26794602885737656,0.5534608364105225,201,,0.33367421747465714,0.4903787362789922,15,0.06572818861728058
100,20,4,5,adam,0.001,simple_BC,0.28383714249434405,0.07894349098205566,201,,0.33367421747465714,0.4903787362789922,15,0.04983707498031309
100,20,4,5,adam,0.001,BC_with_evidence,0.2145962027722583,5.6591956615448,201,0.14792412519454956,0.33367421747465714,0.4903787362789922,15,0.11907801470239884
100,20,4,5,adam,0.001,BC_observed_positive,0.2834169387017644,0.5424599647521973,201,,0.33367421747465714,0.4903787362789922,15,0.050257278772892766
100,20,4,5,adam,0.005,simple_BC,0.31193300911694144,0.07605242729187012,201,,0.33367421747465714,0.4903787362789922,15,0.021741208357715702
100,20,4,5,adam,0.005,BC_with_evidence,0.19890479503162592,4.036651372909546,201,0.14658677577972412,0.33367421747465714,0.4903787362789922,15,0.13476942244303122
100,20,4,5,adam,0.005,BC_observed_positive,0.31236788967225754,0.5323464870452881,201,,0.33367421747465714,0.4903787362789922,15,0.021306327802399605
100,20,4,5,adam,0.01,simple_BC,0.3119427785626318,0.06840157508850098,193,,0.33367421747465714,0.4903787362789922,15,0.021731438912025336
100,20,4,5,adam,0.01,BC_with_evidence,0.1491844074726298,8.166768312454224,201,0.12619070708751678,0.33367421747465714,0.4903787362789922,15,0.18448981000202735
100,20,4,5,adam,0.01,BC_observed_positive,0.3139102626458211,0.7052388191223145,201,,0.33367421747465714,0.4903787362789922,15,0.019763954828836028
100,20,4,5,RMSprop,0.0001,simple_BC,0.25590967609582405,0.08421921730041504,201,,0.33367421747465714,0.4903787362789922,15,0.0777645413788331
100,20,4,5,RMSprop,0.0001,BC_with_evidence,0.24409953910847787,9.239266633987427,201,0.18153803050518036,0.33367421747465714,0.4903787362789922,15,0.08957467836617927
100,20,4,5,RMSprop,0.0001,BC_observed_positive,0.25590599736129577,0.5315556526184082,201,,0.33367421747465714,0.4903787362789922,15,0.07776822011336137
100,20,4,5,RMSprop,0.0005,simple_BC,0.27825313899224574,0.06501030921936035,201,,0.33367421747465714,0.4903787362789922,15,0.0554210784824114
100,20,4,5,RMSprop,0.0005,BC_with_evidence,0.2208267654347578,9.860877513885498,201,0.17449843883514404,0.33367421747465714,0.4903787362789922,15,0.11284745203989935
100,20,4,5,RMSprop,0.0005,BC_observed_positive,0.2781049018766075,0.5222656726837158,201,,0.33367421747465714,0.4903787362789922,15,0.05556931559804962
100,20,4,5,RMSprop,0.001,simple_BC,0.2995881776206084,0.07408022880554199,201,,0.33367421747465714,0.4903787362789922,15,0.03408603985404873
100,20,4,5,RMSprop,0.001,BC_with_evidence,0.19369197522111334,6.543064832687378,201,0.13925261795520782,0.33367421747465714,0.4903787362789922,15,0.1399822422535438
100,20,4,5,RMSprop,0.001,BC_observed_positive,0.29995478936036984,0.5360820293426514,201,,0.33367421747465714,0.4903787362789922,15,0.0337194281142873
100,20,4,5,RMSprop,0.005,simple_BC,0.3119406168929777,0.03480124473571777,103,,0.33367421747465714,0.4903787362789922,15,0.021733600581679446
100,20,4,5,RMSprop,0.005,BC_with_evidence,0.24589656315767575,4.204432010650635,201,0.11549165844917297,0.33367421747465714,0.4903787362789922,15,0.0877776543169814
100,20,4,5,RMSprop,0.005,BC_observed_positive,0.31462432801345636,0.53076171875,201,,0.33367421747465714,0.4903787362789922,15,0.019049889461200786
100,20,4,5,RMSprop,0.01,simple_BC,0.31194104194444816,0.019666671752929688,51,,0.33367421747465714,0.4903787362789922,15,0.02173317553020898
100,20,4,5,RMSprop,0.01,BC_with_evidence,0.1718067687480774,5.688954591751099,201,0.10044734179973602,0.33367421747465714,0.4903787362789922,15,0.16186744872657974
100,20,4,5,RMSprop,0.01,BC_observed_positive,0.30958773370718734,0.5359787940979004,201,,0.33367421747465714,0.4903787362789922,15,0.024086483767469802
100,20,4,5,adagrad,0.0001,simple_BC,0.2505033202037449,0.06708407402038574,201,,0.33367421747465714,0.4903787362789922,15,0.08317089727091226
100,20,4,5,adagrad,0.0001,BC_with_evidence,0.24949717088058113,5.565528631210327,201,0.18705368041992188,0.33367421747465714,0.4903787362789922,15,0.08417704659407602
100,20,4,5,adagrad,0.0001,BC_observed_positive,0.2505053074152804,0.5793888568878174,201,,0.33367421747465714,0.4903787362789922,15,0.08316891005937677
100,20,4,5,adagrad,0.0005,simple_BC,0.2525104099231257,0.07662391662597656,201,,0.33367421747465714,0.4903787362789922,15,0.08116380755153146
100,20,4,5,adagrad,0.0005,BC_with_evidence,0.24745583776259533,10.456199169158936,201,0.16975730657577515,0.33367421747465714,0.4903787362789922,15,0.08621837971206181
100,20,4,5,adagrad,0.0005,BC_observed_positive,0.2525057027113318,0.5337715148925781,201,,0.33367421747465714,0.4903787362789922,15,0.08116851476332532
100,20,4,5,adagrad,0.001,simple_BC,0.2550036238424942,0.0691072940826416,201,,0.33367421747465714,0.4903787362789922,15,0.07867059363216294
100,20,4,5,adagrad,0.001,BC_with_evidence,0.24501547185740735,11.5585036277771,201,0.14443852007389069,0.33367421747465714,0.4903787362789922,15,0.08865874561724979
100,20,4,5,adagrad,0.001,BC_observed_positive,0.2549658323957938,0.6710138320922852,201,,0.33367421747465714,0.4903787362789922,15,0.07870838507886335
100,20,4,5,adagrad,0.005,simple_BC,0.273953767213071,0.08448386192321777,201,,0.33367421747465714,0.4903787362789922,15,0.05972045026158612
100,20,4,5,adagrad,0.005,BC_with_evidence,0.22414758434642634,18.1805157661438,201,0.1484711766242981,0.33367421747465714,0.4903787362789922,15,0.1095266331282308
100,20,4,5,adagrad,0.005,BC_observed_positive,0.2741247341810579,0.5925304889678955,201,,0.33367421747465714,0.4903787362789922,15,0.059549483293599215
100,20,4,5,adagrad,0.01,simple_BC,0.2932025535521044,0.08185100555419922,201,,0.33367421747465714,0.4903787362789922,15,0.04047166392255275
100,20,4,5,adagrad,0.01,BC_with_evidence,0.20369975806750285,5.000989675521851,201,0.1436804085969925,0.33367421747465714,0.4903787362789922,15,0.1299744594071543
100,20,4,5,adagrad,0.01,BC_observed_positive,0.2929269216161818,0.5016162395477295,201,,0.33367421747465714,0.4903787362789922,15,0.04074729585847536
100,20,4,5,nadam,0.0001,simple_BC,0.2536611890818812,0.07982730865478516,201,,0.33367421747465714,0.4903787362789922,15,0.08001302839277596
100,20,4,5,nadam,0.0001,BC_with_evidence,0.2464085345348655,4.890097379684448,201,0.14760281145572662,0.33367421747465714,0.4903787362789922,15,0.08726568293979164
100,20,4,5,nadam,0.0001,BC_observed_positive,0.2536430551440069,0.5135681629180908,201,,0.33367421747465714,0.4903787362789922,15,0.08003116233065022
100,20,4,5,nadam,0.0005,simple_BC,0.26762457522984107,0.08228158950805664,201,,0.33367421747465714,0.4903787362789922,15,0.06604964224481608
100,20,4,5,nadam,0.0005,BC_with_evidence,0.2326304017443727,6.421633005142212,201,0.16056817770004272,0.33367421747465714,0.4903787362789922,15,0.10104381573028445
100,20,4,5,nadam,0.0005,BC_observed_positive,0.26757475998283003,0.5405929088592529,201,,0.33367421747465714,0.4903787362789922,15,0.06609945749182711
100,20,4,5,nadam,0.001,simple_BC,0.2828437182554672,0.07358932495117188,201,,0.33367421747465714,0.4903787362789922,15,0.05083049921918992
100,20,4,5,nadam,0.001,BC_with_evidence,0.21137237527368838,6.820334434509277,201,0.12818652391433716,0.33367421747465714,0.4903787362789922,15,0.12230184220096876
100,20,4,5,nadam,0.001,BC_observed_positive,0.282517809945516,0.540642499923706,201,,0.33367421747465714,0.4903787362789922,15,0.051156407529141135
100,20,4,5,nadam,0.005,simple_BC,0.31194384583288864,0.0840303897857666,201,,0.33367421747465714,0.4903787362789922,15,0.021730371641768498
100,20,4,5,nadam,0.005,BC_with_evidence,0.16902291261503127,7.173108100891113,201,0.14423002302646637,0.33367421747465714,0.4903787362789922,15,0.16465130485962587
100,20,4,5,nadam,0.005,BC_observed_positive,0.3124561591726361,0.5326828956604004,201,,0.33367421747465714,0.4903787362789922,15,0.02121805830202106
