N,T,edge_per_t,evidences_per_t,optimizer_name,num_epochs,lr,model_name,minibatch_size,epsilon_estimated,time,real_epsilon,mu,rho,distance_epsilon,X0_r2,early_stopping,max_epochs
100,64,16,8,adam,201,0.0001,simple_BC,0,0.24629201387977623,0.08699893951416016,0.0797605053747168,0.2816593051486279,16,0.16653150850505943,,201,201
100,64,16,8,adam,201,0.0001,simple_BC,16,0.2465878447024657,0.09549498558044434,0.0797605053747168,0.2816593051486279,16,0.1668273393277489,,201,201
100,64,16,8,adam,201,0.0001,simple_BC,32,0.24631498352981598,0.09498214721679688,0.0797605053747168,0.2816593051486279,16,0.1665544781550992,,201,201
100,64,16,8,adam,201,0.0001,BC_with_evidence,0,0.24629445544578074,16.04498863220215,0.0797605053747168,0.2816593051486279,16,0.16653395007106395,-1.0886096954345703,201,201
100,64,16,8,adam,201,0.0001,BC_with_evidence,16,0.24654702886622543,17.429879903793335,0.0797605053747168,0.2816593051486279,16,0.16678652349150863,-1.1841256618499756,201,201
100,64,16,8,adam,201,0.0001,BC_with_evidence,32,0.24637528706808712,15.027747631072998,0.0797605053747168,0.2816593051486279,16,0.16661478169337032,-1.1925358772277832,201,201
100,64,16,8,adam,201,0.0001,BC_observed_positive,0,0.24629042184838296,1.3424484729766846,0.0797605053747168,0.2816593051486279,16,0.16652991647366616,,201,201
100,64,16,8,adam,201,0.0001,BC_observed_positive,16,0.2463065244548082,1.3945496082305908,0.0797605053747168,0.2816593051486279,16,0.1665460190800914,,201,201
100,64,16,8,adam,201,0.0001,BC_observed_positive,32,0.2462964265406797,1.3813576698303223,0.0797605053747168,0.2816593051486279,16,0.1665359211659629,,201,201
100,64,16,8,adam,201,0.0005,simple_BC,0,0.2322812485598148,0.08019638061523438,0.0797605053747168,0.2816593051486279,16,0.152520743185098,,201,201
100,64,16,8,adam,201,0.0005,simple_BC,16,0.23325157989095038,0.09022641181945801,0.0797605053747168,0.2816593051486279,16,0.1534910745162336,,201,201
100,64,16,8,adam,201,0.0005,simple_BC,32,0.23248079667755603,0.0922250747680664,0.0797605053747168,0.2816593051486279,16,0.15272029130283923,,201,201
100,64,16,8,adam,201,0.0005,BC_with_evidence,0,0.23232862363291035,17.199590921401978,0.0797605053747168,0.2816593051486279,16,0.15256811825819355,-0.6834530830383301,201,201
100,64,16,8,adam,201,0.0005,BC_with_evidence,16,0.23346212824310447,16.124670028686523,0.0797605053747168,0.2816593051486279,16,0.15370162286838768,-1.1634869575500488,201,201
100,64,16,8,adam,201,0.0005,BC_with_evidence,32,0.2328387113449031,16.82207417488098,0.0797605053747168,0.2816593051486279,16,0.15307820597018632,-1.3080329895019531,201,201
100,64,16,8,adam,201,0.0005,BC_observed_positive,0,0.2321717578961168,1.3734018802642822,0.0797605053747168,0.2816593051486279,16,0.1524112525214,,201,201
100,64,16,8,adam,201,0.0005,BC_observed_positive,16,0.23225253075146265,1.3816263675689697,0.0797605053747168,0.2816593051486279,16,0.15249202537674586,,201,201
100,64,16,8,adam,201,0.0005,BC_observed_positive,32,0.23219471821552187,1.3811686038970947,0.0797605053747168,0.2816593051486279,16,0.15243421284080508,,201,201
100,64,16,8,adam,201,0.001,simple_BC,0,0.2165203619695978,0.07785725593566895,0.0797605053747168,0.2816593051486279,16,0.13675985659488102,,201,201
100,64,16,8,adam,201,0.001,simple_BC,16,0.21731045259515128,0.08416008949279785,0.0797605053747168,0.2816593051486279,16,0.13754994722043448,,201,201
100,64,16,8,adam,201,0.001,simple_BC,32,0.21731378493354525,0.0840446949005127,0.0797605053747168,0.2816593051486279,16,0.13755327955882846,,201,201
100,64,16,8,adam,201,0.001,BC_with_evidence,0,0.2165831784268585,16.279786109924316,0.0797605053747168,0.2816593051486279,16,0.1368226730521417,-1.2047998905181885,201,201
100,64,16,8,adam,201,0.001,BC_with_evidence,16,0.217180151498819,15.82105541229248,0.0797605053747168,0.2816593051486279,16,0.1374196461241022,-0.7103900909423828,201,201
100,64,16,8,adam,201,0.001,BC_with_evidence,32,0.21805257995398716,16.761837005615234,0.0797605053747168,0.2816593051486279,16,0.13829207457927037,-0.71540367603302,201,201
100,64,16,8,adam,201,0.001,BC_observed_positive,0,0.2160981889920361,1.3605904579162598,0.0797605053747168,0.2816593051486279,16,0.1363376836173193,,201,201
100,64,16,8,adam,201,0.001,BC_observed_positive,16,0.21625592204502925,1.3778941631317139,0.0797605053747168,0.2816593051486279,16,0.13649541667031245,,201,201
100,64,16,8,adam,201,0.001,BC_observed_positive,32,0.21626683422285153,1.3949666023254395,0.0797605053747168,0.2816593051486279,16,0.13650632884813474,,201,201
100,64,16,8,adam,201,0.005,simple_BC,0,0.14049607412687667,0.08755683898925781,0.0797605053747168,0.2816593051486279,16,0.06073556875215988,,201,201
100,64,16,8,adam,201,0.005,simple_BC,16,0.14336605533358118,0.08477973937988281,0.0797605053747168,0.2816593051486279,16,0.06360554995886439,,201,201
100,64,16,8,adam,201,0.005,simple_BC,32,0.14262126112666826,0.08552932739257812,0.0797605053747168,0.2816593051486279,16,0.06286075575195146,,201,201
100,64,16,8,adam,201,0.005,BC_with_evidence,0,0.1433459946010875,15.038585186004639,0.0797605053747168,0.2816593051486279,16,0.0635854892263707,-0.4209965467453003,201,201
100,64,16,8,adam,201,0.005,BC_with_evidence,16,0.1599394428422574,17.320263147354126,0.0797605053747168,0.2816593051486279,16,0.0801789374675406,-0.6975970268249512,201,201
100,64,16,8,adam,201,0.005,BC_with_evidence,32,0.14971792583473453,15.888728141784668,0.0797605053747168,0.2816593051486279,16,0.06995742046001774,-1.0735962390899658,201,201
100,64,16,8,adam,201,0.005,BC_observed_positive,0,0.13701465156539563,1.3151793479919434,0.0797605053747168,0.2816593051486279,16,0.05725414619067884,,201,201
100,64,16,8,adam,201,0.005,BC_observed_positive,16,0.13774223781244369,1.3605761528015137,0.0797605053747168,0.2816593051486279,16,0.05798173243772689,,201,201
100,64,16,8,adam,201,0.005,BC_observed_positive,32,0.1366315275225575,1.4063944816589355,0.0797605053747168,0.2816593051486279,16,0.056871022147840705,,201,201
100,64,16,8,adam,201,0.01,simple_BC,0,0.10504518032271765,0.08552885055541992,0.0797605053747168,0.2816593051486279,16,0.02528467494800085,,201,201
100,64,16,8,adam,201,0.01,simple_BC,16,0.11150524620062274,0.09359860420227051,0.0797605053747168,0.2816593051486279,16,0.03174474082590595,,201,201
100,64,16,8,adam,201,0.01,simple_BC,32,0.10435414041578053,0.09244632720947266,0.0797605053747168,0.2816593051486279,16,0.02459363504106374,,201,201
100,64,16,8,adam,201,0.01,BC_with_evidence,0,0.09914446161343794,16.31377863883972,0.0797605053747168,0.2816593051486279,16,0.019383956238721148,-0.7271895408630371,201,201
