ensemble_size,calibration_batches,edge_per_t,evidences_per_t,T,real_epsilon,mu,rho,estimated_epsilon,time_calibration,distance_epsilon
1,400,1,2,16,0.17118817130934222,0.0704126630388624,16,0.2516,5.73946475982666,0.08041182869065777
1,400,1,2,32,0.021810643962785536,0.08437112574424427,16,0.0006000000000000001,7.2782299518585205,0.021210643962785537
1,400,1,2,64,0.4404819746816443,0.25711000681662743,16,0.4446,10.773276329040527,0.0041180253183557
1,400,1,2,128,0.05898968535221244,0.04039356270720268,16,0.09390000000000001,17.89650583267212,0.03491031464778757
1,400,1,2,256,0.20395088942135198,0.24909952711443134,16,0.1481,32.17004036903381,0.05585088942135197
1,400,1,4,16,0.3930275034972219,0.40310801349107217,16,0.2947,5.468489170074463,0.09832750349722186
1,400,1,4,32,0.39756226979500053,0.104534677086078,16,0.4187,7.248636960983276,0.021137730204999483
1,400,1,4,64,0.11041864582497313,0.3998642489785546,16,0.0599,10.809718370437622,0.050518645824973125
1,400,1,4,128,0.3010849882756974,0.4081212194271339,16,0.34340000000000004,17.914178133010864,0.04231501172430263
1,400,1,4,256,0.266174500042523,0.027068599741489896,16,0.2404,32.27183675765991,0.02577450004252302
1,400,1,8,16,0.49256614615050426,0.31229032521926586,16,0.35300000000000004,5.476933002471924,0.13956614615050422
1,400,1,8,32,0.16496281357936265,0.2531680417032836,16,0.137,7.247166633605957,0.027962813579362644
1,400,1,8,64,0.45887556018262354,0.03496447291882898,16,0.4585,10.795541286468506,0.0003755601826235244
1,400,1,8,128,0.014671675223995706,0.12081049731560467,16,0.0417,17.895813465118408,0.027028324776004295
1,400,1,8,256,0.2579131863014992,0.48305776678281576,16,0.2394,32.15416622161865,0.018513186301499174
1,400,1,16,16,0.1123439747935705,0.04502700293532802,16,0.2741,5.476759195327759,0.1617560252064295
1,400,1,16,32,0.09408091044088229,0.4230416381668325,16,0.1114,7.267209053039551,0.017319089559117706
1,400,1,16,64,0.3360409520795828,0.11978729333422083,16,0.4993,10.814008712768555,0.16325904792041723
1,400,1,16,128,0.24213082035977107,0.14085762355815723,16,0.2639,17.889896154403687,0.021769179640228953
1,400,1,16,256,0.4382098780734347,0.1830118193855092,16,0.47750000000000004,32.27089309692383,0.039290121926565336
1,400,4,2,16,0.07085071632532619,0.34708505737320416,16,0.1569,5.7684645652771,0.08604928367467382
1,400,4,2,32,0.058959599268625595,0.2490774521292657,16,0.052000000000000005,7.856777906417847,0.006959599268625591
1,400,4,2,64,0.491740742663421,0.3214426008943162,16,0.46030000000000004,12.00912857055664,0.03144074266342095
1,400,4,2,128,0.167740961027963,0.18330369037177785,16,0.15,20.33444380760193,0.017740961027962993
1,400,4,2,256,0.01853976858513595,0.09361685821181437,16,0.0603,37.000330209732056,0.04176023141486405
1,400,4,4,16,0.42192485288409076,0.46097223027496204,16,0.2371,5.756176710128784,0.18482485288409076
1,400,4,4,32,0.33306830283174,0.39479815889716613,16,0.1183,7.852541446685791,0.21476830283173998
1,400,4,4,64,0.4823407236438309,0.04852180801378403,16,0.49500000000000005,11.991408586502075,0.012659276356169147
1,400,4,4,128,0.2177185184630575,0.32384300304769736,16,0.31870000000000004,20.271541595458984,0.10098148153694253
1,400,4,4,256,0.07144424355298934,0.34921375413235123,16,0.2121,36.823721408843994,0.14065575644701067
1,400,4,8,16,0.2221117818992387,0.2583074951300631,16,0.1039,5.755711317062378,0.11821178189923869
1,400,4,8,32,0.315935475965133,0.1992817303527904,16,0.3609,7.842584133148193,0.044964524034867004
1,400,4,8,64,0.4616143116749605,0.24626011956717936,16,0.4278,12.008241176605225,0.03381431167496046
1,400,4,8,128,0.22061505161869044,0.2238717464130004,16,0.15710000000000002,20.265341758728027,0.06351505161869042
1,400,4,8,256,0.4385785626668176,0.34658864077252316,16,0.46030000000000004,36.93247056007385,0.021721437333182436
1,400,4,16,16,0.025483014791788383,0.1501125314249263,16,0.1547,5.7662718296051025,0.12921698520821162
1,400,4,16,32,0.1739344555906968,0.23655726838808727,16,0.48350000000000004,7.864854574203491,0.30956554440930323
1,400,4,16,64,0.12134794035780982,0.4085412966441558,16,0.0016,12.003668785095215,0.11974794035780982
1,400,4,16,128,0.26156574476604,0.34832745155006206,16,0.3078,20.321702003479004,0.04623425523396002
1,400,4,16,256,0.08136377482135126,0.2904274124933057,16,0.0129,36.95895528793335,0.06846377482135127
