ensemble_size,calibration_batches,edge_per_t,T,real_epsilon,mu,rho,estimated_epsilon,time_calibration
1,100,1,32,0.01855633224699721,0.34692770568694986,16,0.0014,2.35611891746521
1,100,1,64,0.21055381250252608,0.47894476507525097,16,0.13440000000000002,4.170843124389648
1,100,1,128,0.20708963476345132,0.02497672947304358,16,0.0937,7.75275182723999
1,100,4,32,0.42101544617980285,0.06208665755995557,16,0.37920000000000004,2.7326090335845947
1,100,4,64,0.430013974341444,0.2694155321708264,16,0.3398,4.861588716506958
1,100,4,128,0.18829015737288723,0.48689176917916127,16,0.0864,9.545990467071533
1,100,16,32,0.3509382648781552,0.12017781242456943,16,0.3855,2.6484785079956055
1,100,16,64,0.46843419065454683,0.4221649742828566,16,0.4378,5.162158727645874
1,100,16,128,0.01855633224699721,0.34692770568694986,16,0.0941,10.46031141281128
1,100,64,32,0.3203913522259231,0.4006653516015963,16,0.3109,3.0265634059906006
1,100,64,64,0.19603293446519343,0.14193375798670133,16,0.1136,6.334439754486084
1,100,64,128,0.3465471722506898,0.33427536201144525,16,0.365,15.259723901748657
1,200,1,32,0.129059996357699,0.13780944817718993,16,0.0959,4.9036571979522705
1,200,1,64,0.21055381250252608,0.47894476507525097,16,0.16970000000000002,8.609784603118896
1,200,1,128,0.20708963476345132,0.02497672947304358,16,0.1678,15.492159605026245
1,200,4,32,0.42101544617980285,0.06208665755995557,16,0.2141,5.23357081413269
1,200,4,64,0.430013974341444,0.2694155321708264,16,0.3961,9.554876565933228
1,200,4,128,0.18829015737288723,0.48689176917916127,16,0.1134,18.876136541366577
1,200,16,32,0.3509382648781552,0.12017781242456943,16,0.3176,5.28678822517395
1,200,16,64,0.46843419065454683,0.4221649742828566,16,0.48410000000000003,10.1508309841156
1,200,16,128,0.01855633224699721,0.34692770568694986,16,0.029400000000000003,20.254197359085083
1,200,64,32,0.3203913522259231,0.4006653516015963,16,0.3521,5.909256935119629
1,200,64,64,0.19603293446519343,0.14193375798670133,16,0.22240000000000001,12.413788795471191
1,200,64,128,0.3465471722506898,0.33427536201144525,16,0.382,29.970113039016724
1,400,1,32,0.129059996357699,0.13780944817718993,16,0.0887,9.964466094970703
1,400,1,64,0.21055381250252608,0.47894476507525097,16,0.0775,16.50374460220337
1,400,1,128,0.20708963476345132,0.02497672947304358,16,0.1165,30.831720113754272
1,400,4,32,0.42101544617980285,0.06208665755995557,16,0.32280000000000003,10.635419607162476
1,400,4,64,0.430013974341444,0.2694155321708264,16,0.3388,19.259475469589233
1,400,4,128,0.18829015737288723,0.48689176917916127,16,0.1505,36.57127666473389
1,400,16,32,0.3509382648781552,0.12017781242456943,16,0.1799,10.833151817321777
1,400,16,64,0.46843419065454683,0.4221649742828566,16,0.4631,20.444306135177612
1,400,16,128,0.01855633224699721,0.34692770568694986,16,0.0049,41.61265969276428
1,400,64,32,0.3203913522259231,0.4006653516015963,16,0.3642,12.322264194488525
1,400,64,64,0.19603293446519343,0.14193375798670133,16,0.1517,25.02997088432312
1,400,64,128,0.3465471722506898,0.33427536201144525,16,0.34490000000000004,58.7995707988739
2,100,1,32,0.129059996357699,0.13780944817718993,16,0.0137,4.382462501525879
2,100,1,64,0.21055381250252608,0.47894476507525097,16,0.2061,7.88577127456665
2,100,1,128,0.20708963476345132,0.02497672947304358,16,0.1188,15.010001182556152
2,100,4,32,0.42101544617980285,0.06208665755995557,16,0.47250000000000003,5.01438045501709
2,100,4,64,0.430013974341444,0.2694155321708264,16,0.4908,9.015608310699463
2,100,4,128,0.18829015737288723,0.48689176917916127,16,0.08420000000000001,17.480050325393677
2,100,16,32,0.3509382648781552,0.12017781242456943,16,0.48400000000000004,4.838354825973511
2,100,16,64,0.46843419065454683,0.4221649742828566,16,0.4801,9.717271089553833
2,100,16,128,0.01855633224699721,0.34692770568694986,16,0.09920000000000001,20.225823640823364
2,100,64,32,0.3203913522259231,0.4006653516015963,16,0.3205,5.552685260772705
2,100,64,64,0.19603293446519343,0.14193375798670133,16,0.2033,11.564254522323608
2,100,64,128,0.3465471722506898,0.33427536201144525,16,0.3609,27.640894412994385
2,200,1,32,0.129059996357699,0.13780944817718993,16,0.0609,8.651926279067993
2,200,1,64,0.21055381250252608,0.47894476507525097,16,0.1183,15.506711721420288
2,200,1,128,0.20708963476345132,0.02497672947304358,16,0.1504,30.518194913864136
2,200,4,32,0.42101544617980285,0.06208665755995557,16,0.19490000000000002,8.418910026550293
2,200,4,64,0.430013974341444,0.2694155321708264,16,0.2826,18.473328113555908
2,200,4,128,0.18829015737288723,0.48689176917916127,16,0.1844,36.22571682929993
2,200,16,32,0.3509382648781552,0.12017781242456943,16,0.47940000000000005,10.191768884658813
2,200,16,64,0.46843419065454683,0.4221649742828566,16,0.4555,19.935399293899536
2,200,16,128,0.01855633224699721,0.34692770568694986,16,0.0175,40.779937744140625
2,200,64,32,0.3203913522259231,0.4006653516015963,16,0.306,11.304696083068848
2,200,64,64,0.19603293446519343,0.14193375798670133,16,0.1087,24.147549867630005
2,200,64,128,0.3465471722506898,0.33427536201144525,16,0.34940000000000004,59.53917098045349
2,400,1,32,0.129059996357699,0.13780944817718993,16,0.016300000000000002,17.54148030281067
2,400,1,64,0.21055381250252608,0.47894476507525097,16,0.08750000000000001,31.630180835723877
2,400,1,128,0.20708963476345132,0.02497672947304358,16,0.1643,64.62358689308167
2,400,4,32,0.42101544617980285,0.06208665755995557,16,0.3639,20.41421890258789
2,400,4,64,0.430013974341444,0.2694155321708264,16,0.3991,37.48692798614502
2,400,4,128,0.18829015737288723,0.48689176917916127,16,0.15430000000000002,73.34041237831116
2,400,16,32,0.3509382648781552,0.12017781242456943,16,0.4721,20.60089373588562
2,400,16,64,0.46843419065454683,0.4221649742828566,16,0.4913,38.90863919258118
2,400,16,128,0.01855633224699721,0.34692770568694986,16,0.0646,80.82140636444092
2,400,64,32,0.3203913522259231,0.4006653516015963,16,0.3612,23.07818293571472
2,400,64,64,0.19603293446519343,0.14193375798670133,16,0.1864,48.45594549179077
2,400,64,128,0.3465471722506898,0.33427536201144525,16,0.3776,117.97111988067627
4,100,1,32,0.129059996357699,0.13780944817718993,16,0.0206,8.150115728378296
4,100,1,64,0.21055381250252608,0.47894476507525097,16,0.046200000000000005,15.3467435836792
4,100,1,128,0.20708963476345132,0.02497672947304358,16,0.18860000000000002,30.394740104675293
4,100,4,32,0.42101544617980285,0.06208665755995557,16,0.24000000000000002,9.222787141799927
4,100,4,64,0.430013974341444,0.2694155321708264,16,0.3332,17.838858366012573
4,100,4,128,0.18829015737288723,0.48689176917916127,16,0.12340000000000001,35.15739917755127
4,100,16,32,0.3509382648781552,0.12017781242456943,16,0.3835,9.792422533035278
4,100,16,64,0.46843419065454683,0.4221649742828566,16,0.4419,19.577959299087524
4,100,16,128,0.01855633224699721,0.34692770568694986,16,0.008400000000000001,40.4681875705719
4,100,64,32,0.3203913522259231,0.4006653516015963,16,0.3176,10.954517841339111
4,100,64,64,0.19603293446519343,0.14193375798670133,16,0.21880000000000002,23.772170543670654
4,100,64,128,0.3465471722506898,0.33427536201144525,16,0.31920000000000004,57.27677512168884
4,200,1,32,0.129059996357699,0.13780944817718993,16,0.0152,16.558874368667603
4,200,1,64,0.21055381250252608,0.47894476507525097,16,0.08650000000000001,30.926482677459717
4,200,1,128,0.20708963476345132,0.02497672947304358,16,0.1183,59.041269063949585
4,200,4,32,0.42101544617980285,0.06208665755995557,16,0.3435,19.371849298477173
4,200,4,64,0.430013974341444,0.2694155321708264,16,0.34900000000000003,35.88877272605896
