ensemble_size,calibration_batches,edge_per_t,T,real_epsilon,mu,rho,estimated_epsilon,time_calibration
1,100,1,32,0.01855633224699721,0.34692770568694986,16,0.038700000000000005,1.6452183723449707
1,100,1,64,0.21055381250252608,0.47894476507525097,16,0.22740000000000002,2.555163621902466
1,100,1,128,0.20708963476345132,0.02497672947304358,16,0.1542,4.87501072883606
1,100,4,32,0.42101544617980285,0.06208665755995557,16,0.4184,1.8618135452270508
1,100,4,64,0.430013974341444,0.2694155321708264,16,0.3582,3.476294994354248
1,100,4,128,0.18829015737288723,0.48689176917916127,16,0.1126,5.954935312271118
1,100,16,32,0.3509382648781552,0.12017781242456943,16,0.4918,1.9507126808166504
1,100,16,64,0.46843419065454683,0.4221649742828566,16,0.49560000000000004,3.3804826736450195
1,100,16,128,0.01855633224699721,0.34692770568694986,16,0.1019,6.138736963272095
1,100,64,32,0.3203913522259231,0.4006653516015963,16,0.3265,2.046359062194824
1,100,64,64,0.19603293446519343,0.14193375798670133,16,0.22690000000000002,3.2243549823760986
1,100,64,128,0.3465471722506898,0.33427536201144525,16,0.35000000000000003,6.25607442855835
1,200,1,32,0.129059996357699,0.13780944817718993,16,0.14120000000000002,3.3937463760375977
1,200,1,64,0.21055381250252608,0.47894476507525097,16,0.20220000000000002,5.38802695274353
1,200,1,128,0.20708963476345132,0.02497672947304358,16,0.2019,10.167575359344482
1,200,4,32,0.42101544617980285,0.06208665755995557,16,0.4227,3.8856852054595947
1,200,4,64,0.430013974341444,0.2694155321708264,16,0.41100000000000003,6.623499155044556
1,200,4,128,0.18829015737288723,0.48689176917916127,16,0.25070000000000003,11.983212232589722
1,200,16,32,0.3509382648781552,0.12017781242456943,16,0.4093,3.926370620727539
1,200,16,64,0.46843419065454683,0.4221649742828566,16,0.44380000000000003,6.588081121444702
1,200,16,128,0.01855633224699721,0.34692770568694986,16,0.092,12.045518159866333
1,200,64,32,0.3203913522259231,0.4006653516015963,16,0.2617,3.9334659576416016
1,200,64,64,0.19603293446519343,0.14193375798670133,16,0.21980000000000002,6.767930507659912
1,200,64,128,0.3465471722506898,0.33427536201144525,16,0.2826,11.728144645690918
1,400,1,32,0.129059996357699,0.13780944817718993,16,0.1009,6.8653178215026855
1,400,1,64,0.21055381250252608,0.47894476507525097,16,0.1585,10.988492727279663
1,400,1,128,0.20708963476345132,0.02497672947304358,16,0.1558,20.02768635749817
1,400,4,32,0.42101544617980285,0.06208665755995557,16,0.383,7.813438653945923
1,400,4,64,0.430013974341444,0.2694155321708264,16,0.44680000000000003,13.47636103630066
1,400,4,128,0.18829015737288723,0.48689176917916127,16,0.2126,25.004884958267212
1,400,16,32,0.3509382648781552,0.12017781242456943,16,0.1703,7.7536492347717285
1,400,16,64,0.46843419065454683,0.4221649742828566,16,0.47240000000000004,12.936041116714478
1,400,16,128,0.01855633224699721,0.34692770568694986,16,0.0548,24.322940349578857
1,400,64,32,0.3203913522259231,0.4006653516015963,16,0.3501,7.88275408744812
1,400,64,64,0.19603293446519343,0.14193375798670133,16,0.14250000000000002,13.118523359298706
1,400,64,128,0.3465471722506898,0.33427536201144525,16,0.3643,24.654507875442505
2,100,1,32,0.129059996357699,0.13780944817718993,16,0.0753,3.085951805114746
2,100,1,64,0.21055381250252608,0.47894476507525097,16,0.1472,5.328408718109131
2,100,1,128,0.20708963476345132,0.02497672947304358,16,0.25930000000000003,8.821171760559082
2,100,4,32,0.42101544617980285,0.06208665755995557,16,0.2995,3.5959649085998535
2,100,4,64,0.430013974341444,0.2694155321708264,16,0.46,5.9492714405059814
2,100,4,128,0.18829015737288723,0.48689176917916127,16,0.1149,11.372814178466797
2,100,16,32,0.3509382648781552,0.12017781242456943,16,0.3865,3.4443414211273193
2,100,16,64,0.46843419065454683,0.4221649742828566,16,0.4718,5.977684020996094
2,100,16,128,0.01855633224699721,0.34692770568694986,16,0.0546,11.519341707229614
2,100,64,32,0.3203913522259231,0.4006653516015963,16,0.30010000000000003,3.564338445663452
2,100,64,64,0.19603293446519343,0.14193375798670133,16,0.1957,6.389959335327148
2,100,64,128,0.3465471722506898,0.33427536201144525,16,0.3388,11.835861206054688
2,200,1,32,0.129059996357699,0.13780944817718993,16,0.0494,6.0898096561431885
2,200,1,64,0.21055381250252608,0.47894476507525097,16,0.1499,10.787050008773804
2,200,1,128,0.20708963476345132,0.02497672947304358,16,0.08800000000000001,18.464429140090942
2,200,4,32,0.42101544617980285,0.06208665755995557,16,0.3038,7.027153491973877
2,200,4,64,0.430013974341444,0.2694155321708264,16,0.28400000000000003,12.480414867401123
