ensemble_size,calibration_batches,edge_per_t,T,real_epsilon,mu,rho,estimated_epsilon,time_calibration,distance_epsilon
1,400,1,16,0.3062316171198932,0.46255742874012634,16,0.38230000000000003,3.244352102279663,0.07606838288010681
1,400,1,32,0.28302194900177224,0.3530179283210497,16,0.32580000000000003,4.804250478744507,0.04277805099822779
1,400,1,64,0.05501119315215647,0.2855070654189488,16,0.060000000000000005,7.945842742919922,0.004988806847843537
1,400,1,128,0.3748176957744997,0.3510318131902329,16,0.3417,13.280059337615967,0.03311769577449969
1,400,1,256,0.3429539433661764,0.238161601976643,16,0.38380000000000003,23.27835512161255,0.040846056633823624
1,400,4,16,0.3492372732613317,0.23890803707173047,16,0.1578,3.170881986618042,0.1914372732613317
1,400,4,32,0.08781358039095338,0.22108752949059418,16,0.026500000000000003,4.874506235122681,0.06131358039095338
1,400,4,64,0.23440527625680158,0.103329922152959,16,0.35000000000000003,8.287143468856812,0.11559472374319846
1,400,4,128,0.29656585360945426,0.1416173162176988,16,0.2487,15.06290054321289,0.04786585360945425
1,400,4,256,0.1884644761673765,0.2784251234241751,16,0.09910000000000001,28.58809518814087,0.08936447616737649
1,400,16,16,0.39568812599736797,0.3651375661286287,16,0.2952,3.1664795875549316,0.10048812599736795
1,400,16,32,0.3598227618643558,0.31853125041694874,16,0.44110000000000005,4.879822015762329,0.08127723813564425
1,400,16,64,0.253115988832178,0.3085000182310905,16,0.1831,8.297239780426025,0.070015988832178
1,400,16,128,0.39175405181095146,0.2540187051030489,16,0.40850000000000003,15.066681623458862,0.016745948189048565
1,400,16,256,0.19485507176106243,0.2828139546212249,16,0.1957,28.83952045440674,0.0008449282389375867
1,400,64,16,0.2838818331365221,0.22011495691210747,16,0.1729,3.181666374206543,0.1109818331365221
1,400,64,32,0.14269486422963712,0.0427267388519717,16,0.306,4.9043262004852295,0.16330513577036287
1,400,64,64,0.039387615187315705,0.43612931983821973,16,0.1274,8.349128246307373,0.08801238481268431
1,400,64,128,0.3449853262873081,0.23889265984466318,16,0.3871,15.19196891784668,0.0421146737126919
1,400,64,256,0.4849554682079301,0.13558264013881238,16,0.4859,29.14004921913147,0.0009445317920698804
1,400,1,16,0.056011888716863634,0.4867339039325117,16,0.14780000000000001,2.848414897918701,0.09178811128313638
1,400,1,32,0.19648746140627982,0.08461956198822318,16,0.1124,4.220543384552002,0.08408746140627982
1,400,1,64,0.1838886645449539,0.3887013166147573,16,0.16440000000000002,6.9504475593566895,0.019488664544953876
1,400,1,128,0.37360375521693656,0.3749080918757115,16,0.3054,12.418998956680298,0.06820375521693656
1,400,1,256,0.03594028142634076,0.16304827370172237,16,0.0368,23.33699917793274,0.0008597185736592405
1,400,4,16,0.042338406877244494,0.33141385580735927,16,0.038200000000000005,3.1783394813537598,0.00413840687724449
1,400,4,32,0.01098403287815769,0.38049377399413864,16,0.0304,4.88415002822876,0.01941596712184231
1,400,4,64,0.013159212855635538,0.08605983762835984,16,0.0262,8.29755973815918,0.013040787144364463
1,400,4,128,0.30288504965943464,0.2319790086587672,16,0.2705,15.095887422561646,0.03238504965943462
1,400,4,256,0.11828474307991788,0.492127421677944,16,0.1411,28.69858145713806,0.022815256920082128
1,400,16,16,0.2338060878409733,0.407638691783896,16,0.20270000000000002,3.173917770385742,0.031106087840973268
1,400,16,32,0.2720666479202728,0.48426653169373185,16,0.2957,4.882484436035156,0.02363335207972722
1,400,16,64,0.35619067325504006,0.3067610557880121,16,0.3865,8.32810354232788,0.030309326744959952
1,400,16,128,0.48932687406833353,0.0024441100792247927,16,0.4202,15.135666847229004,0.06912687406833351
1,400,16,256,0.2918379074363837,0.4751095865607894,16,0.2786,28.822459936141968,0.0132379074363837
1,400,64,16,0.45788941155513735,0.42649443368944506,16,0.5,3.2492289543151855,0.04211058844486265
1,400,64,32,0.1672962300303325,0.41366220228258554,16,0.19590000000000002,4.997956991195679,0.028603769969667514
