N,T,edge_per_t,tot_edges,epsilon,epsilon0,mu,epsilon_pgabm,time_pgabm,epochs_pgabm,distance_epsilon_pgabm,epsilon_msm_20_batches,time_msm_20_batches,distance_epsilon_msm_20_batches,epsilon_msm_50_batches,time_msm_50_batches,distance_epsilon_msm_50_batches,epsilon_msm_100_batches,time_msm_100_batches,distance_epsilon_msm_100_batches
100,100,1,100,0.41010123315767494,0.25,0.3772172876115065,0.4026492471332485,0.09662747383117676,180,0.007451986024426427,0.4378,0.25042128562927246,0.027698766842325084,0.4194,0.6274242401123047,0.009298766842325057,0.42060000000000003,1.2372722625732422,0.010498766842325091
100,316,1,316,0.24967055064891724,0.25,0.4244374662396153,0.2347838650358661,0.3062915802001953,500,0.014886685613051148,0.2503,0.3978266716003418,0.0006294493510827781,0.25520000000000004,0.9961569309234619,0.0055294493510827936,0.2561,2.0043466091156006,0.00642944935108275
100,1000,1,1000,0.0187919257428516,0.25,0.4729649518600131,0.03702765654152713,0.3866562843322754,411,0.018235730798675527,0.0256,1.038167953491211,0.0068080742571484006,0.0241,2.5929789543151855,0.005308074257148399,0.0253,5.174678802490234,0.006508074257148399
316,100,1,100,0.07375125269846772,0.25,0.4228418130386131,0.07999043711661838,0.13231348991394043,265,0.006239184418150662,0.0679,0.2552032470703125,0.0058512526984677155,0.09050000000000001,0.6181826591491699,0.016748747301532294,0.0862,1.237703800201416,0.012448747301532281
316,316,1,316,0.4613193473443356,0.25,0.10275656387416432,0.4658416147266897,0.17043495178222656,269,0.004522267382354117,0.43710000000000004,0.3994331359863281,0.024219347344335562,0.442,1.0008430480957031,0.019319347344335602,0.44730000000000003,1.9929203987121582,0.014019347344335575
316,1000,1,1000,0.022077398015931227,0.25,0.772580266631544,0.0411028077252944,0.39008474349975586,395,0.019025409709363172,0.0333,1.0332682132720947,0.011222601984068777,0.024300000000000002,2.586298942565918,0.0022226019840687755,0.0307,5.1852898597717285,0.008622601984068775
1000,100,1,100,0.18624938320267975,0.25,0.1372060034899114,0.1759669322980965,0.19144868850708008,381,0.01028245090458324,0.1907,0.25231266021728516,0.004450616797320256,0.1729,0.6215164661407471,0.013349383202679754,0.17170000000000002,1.2388293743133545,0.014549383202679733
1000,316,1,316,0.3095198173627354,0.25,0.424292374325812,0.3038542797929768,0.10059475898742676,156,0.0056655375697586274,0.31020000000000003,0.40067505836486816,0.0006801826372646036,0.3115,0.9962646961212158,0.0019801826372645714,0.3095,1.9950711727142334,1.9817362735430333e-05
1000,1000,1,1000,0.09847401945700834,0.25,0.2719561124527795,0.09990212413732107,0.24509835243225098,228,0.0014281046803127223,0.1,1.037363052368164,0.0015259805429916617,0.0944,2.590554714202881,0.004074019457008346,0.10060000000000001,5.190696477890015,0.002125980542991665
100,100,2,200,0.49053987862014864,0.25,0.3010079430799063,0.4779356635356629,0.12700438499450684,254,0.012604215084485726,0.4615,0.2796788215637207,0.029039878620148618,0.4889,0.690742015838623,0.0016398786201486382,0.48300000000000004,1.3844027519226074,0.007539878620148599
100,316,2,632,0.07798761652171121,0.25,0.6724207725864325,0.07877511761211073,0.17488408088684082,284,0.0007875010903995172,0.059300000000000005,0.5166246891021729,0.018687616521711206,0.07,1.2828304767608643,0.007987616521711205,0.0703,2.5885603427886963,0.00768761652171121
100,1000,2,2000,0.2698395975806372,0.25,0.5177867238134145,0.26197409369580527,0.4749565124511719,500,0.007865503884831926,0.28040000000000004,1.5331363677978516,0.010560402419362847,0.26930000000000004,3.791266441345215,0.0005395975806371522,0.2681,7.607784032821655,0.0017395975806371866
316,100,2,200,0.3090056621733223,0.25,0.19008705047994057,0.3013817220818245,0.06849145889282227,128,0.007623940091497805,0.2979,0.2810983657836914,0.011105662173322317,0.3,0.6930913925170898,0.009005662173322326,0.30560000000000004,1.3920948505401611,0.003405662173322277
