N,T,edge_per_t,tot_edges,epsilon,epsilon0,mu,epsilon_estimated,time,distance_epsilon,method
100,100,1,100,0.4630907133532268,0.25,0.145558231158397,0.4638,0.5774581432342529,0.0007092866467732,msm_20_batches
100,464,1,464,0.459366717816803,0.25,0.1577300698705332,0.4649,1.0175328254699707,0.0055332821831969,msm_20_batches
100,2154,1,2154,0.1974378064617774,0.25,0.1742169664832256,0.1998,4.961806297302246,0.0023621935382225,msm_20_batches
100,10000,1,10000,0.4816312642203559,0.25,0.1244991804599842,0.4516,57.63279819488525,0.0300312642203559,msm_20_batches
464,100,1,100,0.0869778333402321,0.25,0.905809496008302,0.0956,0.3931386470794678,0.0086221666597678,msm_20_batches
464,464,1,464,0.0631647597198186,0.25,0.9899551783590737,0.0922,0.8064100742340088,0.0290352402801813,msm_20_batches
464,2154,1,2154,0.0675395790233656,0.25,0.6602808345086499,0.0749,5.192023277282715,0.0073604209766343,msm_20_batches
464,10000,1,10000,0.2528310828384483,0.25,0.146360081828459,0.2538,58.49133801460266,0.0009689171615516,msm_20_batches
2154,100,1,100,0.0107624026370989,0.25,0.9092932045442544,0.0099,0.349635362625122,0.0008624026370989,msm_20_batches
2154,464,1,464,0.4739851056088405,0.25,0.4008737323711209,0.4588,0.8238160610198975,0.0151851056088404,msm_20_batches
2154,2154,1,2154,0.4135577355853662,0.25,0.2319876325209255,0.403,4.07602596282959,0.0105577355853662,msm_20_batches
2154,10000,1,10000,0.0075094903710611,0.25,0.0346860341574245,0.0034,56.99582958221436,0.0041094903710611,msm_20_batches
10000,100,1,100,0.0880981277875276,0.25,0.119457050333729,0.0771,0.3920936584472656,0.0109981277875276,msm_20_batches
10000,464,1,464,0.1660317871834185,0.25,0.8126105880328287,0.1566,0.8204329013824463,0.0094317871834184,msm_20_batches
10000,2154,1,2154,0.0654984224054584,0.25,0.1362974683539862,0.0734,4.33051061630249,0.0079015775945415,msm_20_batches
10000,10000,1,10000,0.404745346063291,0.25,0.0528594965453801,0.3992,52.68224763870239,0.005545346063291,msm_20_batches
100,100,2,200,0.1723683263416467,0.25,0.8190891786335308,0.1601,0.4603109359741211,0.0122683263416467,msm_20_batches
100,464,2,928,0.4700537411666836,0.25,0.31058725179421,0.4842,1.0545275211334229,0.0141462588333164,msm_20_batches
100,2154,2,4308,0.29100708997354,0.25,0.4560898093282,0.302,6.768714427947998,0.0109929100264599,msm_20_batches
100,10000,2,20000,0.439415992205922,0.25,0.0266638702151635,0.4407,80.40878987312317,0.001284007794078,msm_20_batches
464,100,2,200,0.4223672226961109,0.25,0.5336533449712114,0.4363,0.4560630321502685,0.013932777303889,msm_20_batches
464,464,2,928,0.4526961593543246,0.25,0.3144670111858496,0.4323,1.2692091464996338,0.0203961593543245,msm_20_batches
464,2154,2,4308,0.2299401329084034,0.25,0.4228286124298224,0.2185,6.816089868545532,0.0114401329084034,msm_20_batches
464,10000,2,20000,0.2731734080101866,0.25,0.0366556643851234,0.2976,101.0712025165558,0.0244265919898133,msm_20_batches
2154,100,2,200,0.3993017955760197,0.25,0.4335923272731645,0.391,0.4656751155853271,0.0083017955760196,msm_20_batches
2154,464,2,928,0.1428594258670737,0.25,0.5122926922783614,0.1592,1.2251012325286863,0.0163405741329262,msm_20_batches
2154,2154,2,4308,0.2451267613099638,0.25,0.4358804444613339,0.2362,6.054586410522461,0.0089267613099638,msm_20_batches
