N,T,edge_per_t,evidences_per_t,calibration_batches,epsilon_msm,real_epsilon,time_calibration,distance_epsilon
100,64,16,8,50,0.4213,0.31562763793306264,2.9689645767211914,0.10567236206693736
100,64,16,8,100,0.028020000000000003,0.31562763793306264,5.91153359413147,0.28760763793306265
100,64,16,8,200,0.42148,0.31562763793306264,11.822155237197876,0.10585236206693738
100,64,16,8,400,0.42135000000000006,0.31562763793306264,23.792177200317383,0.10572236206693741
100,64,16,8,800,0.42117000000000004,0.31562763793306264,48.29635715484619,0.1055423620669374
100,64,16,8,50,0.29932000000000003,0.27902237896176274,3.0607521533966064,0.02029762103823729
100,64,16,8,100,0.29611000000000004,0.27902237896176274,6.067313194274902,0.0170876210382373
100,64,16,8,200,0.29566000000000003,0.27902237896176274,23.238571643829346,0.016637621038237294
100,64,16,8,400,0.29653,0.27902237896176274,42.47355079650879,0.017507621038237275
100,64,16,8,800,0.2967,0.27902237896176274,80.03823804855347,0.01767762103823728
100,64,16,8,50,0.16196000000000002,0.15084351486517406,3.0299696922302246,0.011116485134825965
100,64,16,8,100,0.15968000000000002,0.15084351486517406,6.06044602394104,0.008836485134825961
100,64,16,8,200,0.15805000000000002,0.15084351486517406,11.85567331314087,0.007206485134825968
100,64,16,8,400,0.16329000000000002,0.15084351486517406,23.58915424346924,0.012446485134825963
100,64,16,8,800,0.16344,0.15084351486517406,47.21586990356445,0.012596485134825947
100,64,16,8,50,0.04984,0.09679313643470094,2.952897310256958,0.04695313643470094
100,64,16,8,100,0.05349,0.09679313643470094,5.9085094928741455,0.04330313643470094
100,64,16,8,200,0.0476,0.09679313643470094,11.799681901931763,0.04919313643470094
100,64,16,8,400,0.05335,0.09679313643470094,24.039543628692627,0.04344313643470094
100,64,16,8,800,0.05369,0.09679313643470094,49.791791677474976,0.04310313643470094
100,64,16,8,50,0.44423,0.3679516626871382,3.051499843597412,0.07627833731286182
100,64,16,8,100,0.44609000000000004,0.3679516626871382,5.901931047439575,0.07813833731286185
100,64,16,8,200,0.44414000000000003,0.3679516626871382,11.80602765083313,0.07618833731286184
100,64,16,8,400,0.40963000000000005,0.3679516626871382,23.519959449768066,0.04167833731286186
100,64,16,8,800,0.40990000000000004,0.3679516626871382,47.15544819831848,0.04194833731286185
100,64,16,8,50,0.13136,0.16700115230332496,2.930981159210205,0.03564115230332496
100,64,16,8,100,0.13538,0.16700115230332496,5.8740386962890625,0.03162115230332496
100,64,16,8,200,0.13481,0.16700115230332496,11.813888788223267,0.03219115230332495
100,64,16,8,400,0.13359000000000001,0.16700115230332496,29.51088261604309,0.03341115230332495
100,64,16,8,800,0.13379000000000002,0.16700115230332496,48.957499980926514,0.03321115230332494
100,64,16,8,50,0.03996,0.08000760103632765,3.044098377227783,0.040047601036327644
100,64,16,8,100,0.012190000000000001,0.08000760103632765,6.128324031829834,0.06781760103632764
100,64,16,8,200,0.012820000000000002,0.08000760103632765,28.761473417282104,0.06718760103632765
100,64,16,8,400,0.01305,0.08000760103632765,58.2720091342926,0.06695760103632764
100,64,16,8,800,0.0134,0.08000760103632765,96.02020215988159,0.06660760103632765
100,64,16,8,50,0.3809,0.41223497459187386,2.9739809036254883,0.03133497459187384
100,64,16,8,100,0.38907,0.41223497459187386,5.9607789516448975,0.023164974591873833
100,64,16,8,200,0.38962,0.41223497459187386,12.656143188476562,0.022614974591873838
100,64,16,8,400,0.38669000000000003,0.41223497459187386,23.59751296043396,0.025544974591873826
100,64,16,8,800,0.38803000000000004,0.41223497459187386,50.575337648391724,0.024204974591873818
100,64,16,8,50,0.17217000000000002,0.15818548801718513,2.974740982055664,0.01398451198281489
100,64,16,8,100,0.38066000000000005,0.15818548801718513,5.947626352310181,0.22247451198281493
100,64,16,8,200,0.16801000000000002,0.15818548801718513,11.867846488952637,0.009824511982814893
100,64,16,8,400,0.16824,0.15818548801718513,24.145530223846436,0.010054511982814873
100,64,16,8,800,0.16796000000000003,0.15818548801718513,48.84762787818909,0.009774511982814899
100,64,16,8,50,0.39732,0.4078619760268802,3.1086251735687256,0.010541976026880173
100,64,16,8,100,0.40484000000000003,0.4078619760268802,6.146136045455933,0.0030219760268801465
100,64,16,8,200,0.40855,0.4078619760268802,12.296653747558594,0.0006880239731198445
100,64,16,8,400,0.40971,0.4078619760268802,25.272502422332764,0.001848023973119839
100,64,16,8,800,0.39545,0.4078619760268802,47.66987323760986,0.012411976026880156
100,64,16,8,50,0.30835,0.2316330968419178,2.9698545932769775,0.07671690315808222
100,64,16,8,100,0.14034000000000002,0.2316330968419178,6.7544028759002686,0.09129309684191778
